Parameter,Ch BW,Allocated RBs,UL-DL Configuration (NOTE 2),Special Slot Configuration (NOTE 3),DFT-OFDM Symbols per Sub-Frame,Mod'n,Target Coding rate,"Payload size for Sub-Frame 2, 7",Trans-port block CRC,Number of code blocks per Sub-Frame (NOTE 1),"Total number of bits per Sub-Frame for Sub-Frame 2, 7","Total symbols per Sub-Frame for Sub-Frame 2, 7",UE UL Cateogry
Unit,MHz,,,,,,,Bits,Bits,,Bits,,
,1.4 - 20,1,2,7,12,256QAM,3/4,840,24,1,1152,144,≥ 15
,1.4 - 20,2,2,7,12,256QAM,3/4,1672,24,1,2304,288,≥ 15
,1.4 - 20,3,2,7,12,256QAM,3/4,2536,24,1,3456,432,≥ 15
,1.4 - 20,4,2,7,12,256QAM,3/4,3368,24,1,4608,576,≥ 15
,1.4 - 20,5,2,7,12,256QAM,3/4,4264,24,1,5760,720,≥ 15
,3-20,6,2,7,12,256QAM,3/4,5160,24,1,6912,864,≥ 15
,3-20,8,2,7,12,256QAM,3/4,6712,24,2,9216,1152,≥ 15
,3-20,9,2,7,12,256QAM,3/4,7736,24,2,10368,1296,≥ 15
,3-20,10,2,7,12,256QAM,3/4,8504,24,2,11520,1440,≥ 15
,3-20,12,2,7,12,256QAM,3/4,10296,24,2,13824,1728,≥ 15
,5-20,15,2,7,12,256QAM,3/4,12960,24,3,17280,2160,≥ 15
,5-20,16,2,7,12,256QAM,3/4,13536,24,3,18432,2304,≥ 15
,5-20,18,2,7,12,256QAM,3/4,15264,24,3,20736,2592,≥ 15
,5-20,20,2,7,12,256QAM,3/4,16992,24,3,23040,2880,≥ 15
,5-20,24,2,7,12,256QAM,3/4,20616,24,4,27648,3456,≥ 15
,10-20,25,2,7,12,256QAM,3/4,21384,24,4,28800,3600,≥ 15
,10-20,27,2,7,12,256QAM,3/4,22920,24,4,31104,3888,≥ 15
,10-20,30,2,7,12,256QAM,3/4,25456,24,5,34560,4320,≥ 15
,10-20,32,2,7,12,256QAM,3/4,27376,24,5,36864,4608,≥ 15
,10-20,36,2,7,12,256QAM,3/4,30576,24,6,41472,5184,≥ 15
,10-20,40,2,7,12,256QAM,3/4,34008,24,6,46080,5760,≥ 15
,10-20,45,2,7,12,256QAM,3/4,37888,24,7,51840,6480,≥ 15
,10-20,48,2,7,12,256QAM,3/4,40576,24,8,55296,6912,≥ 15
,15 - 20,50,2,7,12,256QAM,3/4,42368,24,8,57600,7200,≥ 15
,15 - 20,54,2,7,12,256QAM,3/4,46888,24,8,62208,7776,≥ 15
,15 - 20,60,2,7,12,256QAM,3/4,51024,24,9,69120,8640,≥ 15
,15 - 20,64,2,7,12,256QAM,3/4,55056,24,9,73728,9216,≥ 15
,15 - 20,72,2,7,12,256QAM,3/4,61664,24,11,82944,10368,≥ 15
,20,75,2,7,12,256QAM,3/4,63776,24,11,86400,10800,≥ 15
,20,80,2,7,12,256QAM,3/4,68808,24,12,92160,11520,≥ 15
,20,81,2,7,12,256QAM,3/4,68808,24,12,93312,11664,≥ 15
,20,90,2,7,12,256QAM,3/4,76208,24,13,103680,12960,≥ 15
,20,96,2,7,12,256QAM,3/4,81176,24,14,110592,13824,≥ 15
"NOTE 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)NOTE 2:As per Table 4.2-2 in TS 36.211 [7]NOTE 3:As per Table 4.2-1 in TS 36.211 [7]",,,,,,,,,,,,,
