Parameter,Unit,Value,,,,,
Channel Bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,6,15,25,50,75,100
Uplink-Downlink Configuration (NOTE 5),,2,2,2,2,2,2
Special subframe configuration (NOTE 6),,7,7,7,7,7,7
Allocated subframes per Radio Frame (D+S),,3,3+2,3+2,3+2,3+2,3+2
Number of HARQ Processes,Processes,7,7,7,7,7,7
Maximum number of HARQ transmission,,1,1,1,1,1,1
Modulation,,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Target coding rate,,1/3,1/3,1/3,1/3,1/3,1/3
Information Bit Payload per Sub-Frame,Bits,,,,,,
"For Sub-Frame 3, 4, 8, 9",,408,1320,2216,4392,6712,8760
"For Sub-Frame 1, 6",,N/A,776,1288,2664,4008,5352
For Sub-Frame 5,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,,208,1064,1800,4392,6712,8760
Transport block CRC,Bits,24,24,24,24,24,24
Number of Code Blocks per Sub-Frame (NOTE 4),,,,,,,
"For Sub-Frame 3, 4, 8, 9",,1,1,1,1,2,2
"For Sub-Frame 1, 6",,N/A,1,1,1,1,1
For Sub-Frame 5,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,,1,1,1,1,2,2
Binary Channel Bits Per Sub-Frame,Bits,,,,,,
"For Sub-Frame 3, 4, 8, 9",,1368,3780,6300,13800,20700,27600
"For Sub-Frame 1, 6",,N/A,2616,4456,9056,13656,18256
For Sub-Frame 5,,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,,672,3084,5604,13104,20004,26904
Max. Throughput averaged over 1 frame,kbps,102.4,564,932,1965.6,3007.2,3970.4
UE Category,,≥ 1,≥ 1,≥ 1,≥ 1,≥ 1,≥ 1
"NOTE 1:For normal subframes(0,3,4,5,8,9), 2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz. For special subframe (1&6), only 2 OFDM symbols are allocated to PDCCH for all BWs.NOTE 2:For 1.4MHz, no data shall be scheduled on special subframes(1&6) to avoid problems with insufficient PDCCH performanceNOTE 3:Reference signal, Synchronization signals and PBCH allocated as per TS 36.211 [7]NOTE 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 5:As per Table 4.2-2 in TS 36.211 [7]NOTE 6:As per Table 4.2-1 in TS 36.211 [7]",,,,,,,
