Change history,,,,,,,,
Date,Meeting,TDoc,CR,Rev,Cat,Subject/Comment,New version,
2017-08,RAN4#84,,,,,Initial Skeleton,0.0.1,
2017-11,RAN4#84Bis,R4-1711980,,,,Number TPs from editors,0.1.0,
2017-12,RAN4#85,R4-1713807,,,,"Approved TPs in RAN4#85R4-1714444, CA BW classes, TP, EricssonR4-1714170, How to list DC configurations into TS 38.101-3, NokiaR4-1714530, TP on introducing operating bands for NR-LTE DC including SUL band combinations in 38.101-3 , QualcommR4-1714098, TP to TS 38.101-3: UE RF requirements for non-standalone SUL, HuaweiR4-1713206, TP on general parts for 38.101-3 NR interwork, EricssonR4-1714443, TP to TS 38.101-3: On dual uplink operation for EN-DC in NR FR1 and single uplink, NokiaR4-1714450, TP to 38.101-3: maximum output power and unwanted emissions for EN-DC, EricssonR4-1714346, TP to 38.101-3: REFSENS for intra-band EN-DC, EricssonR4-1714345, TP for TS 36.101-3: clause 7 receiver requirements, HuaweiBand list according to R4-1714542, List of bands and band combinations to be introduced into RAN4 NR core requirements by December 2017, RAN4 Chairmen",0.2.0,
2017-12,RAN4#85,R4-1714571,,,,Further corrections after email review,0.3.0,
2017-12,RAN#78,RP-172477,,,,v1.0.0 submitted for plenary approval. Contents same as 0.3.0,1.0.0,
2017-12,RAN#78,,,,,Approved by plenary – Rel-15 spec under change control,15.0.0,
2018-03,RAN#79,RP-180264,0005,,F,"Implementation of endorsed CRs to 38.101-3Endorsed draft CRF: R4-1801267, Draft CR on UE RF requirements for SUL in TS 38.101-3, HuaweiB: R4-1801111, Draft CR for completed LTE 1CC + NR 1band for TS 38.101-3, NTT DOCOMO, INC.B: R4-1800716, Draft CR for introduction of completed band combinations from 37.863-03-01 into 38.101-3, EricssonB: R4-1800063, Draft CR for completed EN-DC of LTE 4CC + NR 1band for TS 38.101-3, NokiaB: R4-1800717, Draft CR for introduction of completed band combinations from 37.865-01-01 into 38.101-3, EricssonF: R4-1800049, Modification for TS38.101-3, CATTF: R4-1800287, 38.101-3 DC_(n)71B draft CR for clause 6.2.4.1 - A-MPR for intra-band EN-DC - NS value, T-Mobile USA Inc.F: R4-1800288, 38.101-3 DC_(n)71B draft CR for clause 7.3.3 Reference sensitivity for DC_(n)71B - MSD values, T-Mobile USA Inc.F: R4-1801139Draft CR to 38.101-3: MSD for inter-band EN-DC, Ericsson",15.1.0,
2018-06,RAN#80,RP-181374,0013,1,F,"CR to TS 38.101-3: Implementation of endorsed draft CRs from RAN4 #87Missing figures (Figure 6.3B.1.1-1, Figure 6.3B.1.1-2, Figure 6.3B.1.1-3 and Figure 6.3B.1.1-4) from the endorsed draftCR (R4-1807235) were added during the CR implementation.",15.2.0,
2018-09,RAN#81,RP-182129,0020,2,F,"Big CR for 38.101-3Draft CRs from RAN4#88:R4-1809960Draft CR to TS 38.101-3: to introduce new NR inter-band DC band combinationsSamsung,KDDI,SKT,KT,LGU+R4-1809991CR to 38.101-3:Corrections on UE coexistence table for Table 6.5B.3.3.1-1MediaTek Inc.R4-1810054Pcmax for Rel-15 inter-band EN-DC for FR1 and NR in FR2InterDigital, Inc.R4-1810111Single UL allowed corrections for DC_28A-n51A EN-DC in 38.101-3Skyworks Solutions Inc.R4-1810125Draft CR to 38.101-3 Single UL allowed corrections for DC_28A_51A EN-DCSkyworks Solutions Inc.R4-1810128Draft CR to 38.101-3 Single UL allowed corrections for EN-DC operation in NR FR1 (two bands)Skyworks Solutions Inc.R4-1810167TP for TR 37.863-01-01: MSD for DC_5A_n78A due to the 4th harmonicMediaTek Inc.R4-1810410Draft CR to 38.101-3: Corrections on symbols and abbreviations in clause 3ZTE CorporationR4-1810417Correction to DC_(n)71B MSD definitionNokiaR4-1810433Correction on EN-DC 8A_n79ASoftBank Corp.,ZTER4-1810476Draft CR to TS 38.101-3 correction for DC_3_n3-n77, DC_3_n3-n78CHTTLR4-1810976Annex lettering change for 38.101-3Qualcomm IncorporatedR4-1811461Clarification and corrections of EN-DC REFSENS exceptions requirementNokia, Nokia Shanghai BellR4-1811462Correction to DC_(n)71B scs restriction for NRNokiaR4-1811466EN DC_41-79CATTR4-1811467Draft CR TS 38.101-3 Corrections to Single UL Allowed Criteria for Mid-Band EN-DC in FR1Skyworks Solutions Inc.R4-1811484Pcmax for inter-band EN-DC FR1 draft CRInterDigital, Inc.R4-1811525Draft CR TS 38.101-3 on missing requirements for FR1 EN-DCSkyworks Solutions, Inc.R4-1811542Draft CR to 38.101-3 on correction on some errorsHuawei, HiSiliconR4-1811796Draft CR to 38.101-3 Corrections to Single UL allowed criteria for EN-DCSkyworks Solutions Inc.R4-1811800DRAFT CR for PCmax FR2 correctionQualcomm IncorporatedR4-1811810Draft CR TS 38.101-3: Corrections for B41/n41SPRINT Corporation",15.3.0,
2018-12,RAN#82,RP-182359,0030,,F,"Endorced draft CRs from RAN4#88Bis :R4-1812057, Introduction of Intra-band contiguous EN-DC bandwidth classes, NokiaR4-1812290Draft CR on MSD for EN-DC including Band 66 and n78Huawei, HiSiliconR4-1812293Draft CR on switching time mask for EN-DCHuawei, HiSiliconR4-1812298Draft CR to TS 38.101-3: to add missing requirements for inter-band CA between FR1 and FR2.SamsungR4-1812360Draft CR to 38.101-3: Corrrection to UL configuration for EN-DC reference sensitivity exceptionsSkyworks Solutions Inc.R4-1812361Draft CR to 38.101-3: NR uplink DFT-S-OFDM waveforms for EN-DC reference sensitivitySkyworks Solutions Inc.R4-1812362Draft CR to 38.101-3: Editorial and RB allocation corrections to table 7.3B.2.3.4-2Skyworks Solutions Inc.R4-1812363Draft CR to 38.101-3: Single UL allowed operation corrections in clause 7.3B.2.3.5Skyworks Solutions Inc.R4-1812404Non-contiguous intra-band EN-DC emission requirementsQualcomm IncorporatedR4-1812410Correction on REFSENS exception for EN-DC 41A-n77A/n78ASoftBank Corp.R4-1812670Correction on REFSENS exceptions of DC_5A-7A_n78A to TS 38.101-3LG UplusR4-1813471draftCR on applicability of TDD configuratiin for CA in TS 38.101-3HuaweiR4-1813796Draft CR for 38.101-3: Intra-band Pcmax for Type 2 UEsSprint CorporationR4-1813816Renaming of DC_(n)71B into DC_(n)71AANokiaR4-1813817Correction to EN-DC operating bands and configurationsNokiaR4-1813818Draft CR on correction REFSENs exceptions due to dual uplink operation for inter-band EN-DC to TS 38.101-3SamsungR4-1813822Draft CR for 38.101-3: Single UL allowed criteria in Annex I Vodafone España SAR4-1814157Draft CR for UE-to-UE coexistence requirements for intra-band EN-DC in TS38.101-3LG Electronics FranceR4-1814167Draft CR on Single UL for some EN-DC combinationsHuaweiEndorsed draft CRs from Ran4#89:R4-1815952dCR on TS38.101-3 merging draft CRs from RAN4#(88Bis)Qualcomm IncorporatedR4-1814803Draft CR on editorial error for EN-DC band combinations to TS 38.101-3Huawei, HiSiliconR4-1815802draft CR editorial correction in 38.101-3EricssonR4-1814425Simplification of requirements for EN-DC configuration including FR2NTT DOCOMO, INC.R4-1814512Draft CR to TS38.101-3_Corrections on MSD requirments for EN-DC combinations of band 8 and n77 n78(Clause 7.3B.2.3.1)ZTE CorporationR4-1814938Draft CR to 38.101-3 on operating bands for CA and DCZTE CorporationZhifeng MaR4-1814976Correction for Maximum output power for inter-band EN-DC (two bands)Nokia, Nokia Shanghai BellR4-1814977Correction for ?TIB,c for EN-DCNokia, Nokia Shanghai BellR4-1814978MPR and A-MPR for interband EN-DCNokia, Nokia Shanghai BellR4-1814980Correction for intra-band EN-DC bandwidth classNokia, Nokia Shanghai BellR4-1815065draft CR for adding missing transmit singnal quality for inter band EN-DC for TS 38.101-3NTT DOCOMO, INC.R4-1815811draft Rel-15 CR to 38.101-3 to correct n260 BW classEricsson, AT&TR4-1815865Draft CR for 38.101-3 Intra-band EN-DC nominal carrier spacing for 30 kHz rasterSPRINT CorporationR4-1815973Draft CR to 38.101-3 rel. 15 to fix MSD issues for higher order EN-DC combinationsR4-1816227Draft CR on Power Class for inter band EN-DC within FR1OPPOR4-1816233Receiver requirements for intra-band EN-DCQualcomm IncorporatedR4-1816621Introduction of maxUplinkDutyCycle to ENDC HPUE in FR1OPPOR4-1816638Pcmax computation and evaluation for inter band ENDCQualcommR4-1816178Draft CR for correction for missing agreed DC combinations in Rel-15 for TS 38.101-3NTT DOCOMO, INC.R4-1816197Draft CR to TS38.101-3_Clarifications on MSD and UL configuration tables for EN-DCZTE CorporationR4-1816198Simplification of EN-DC and CA between FR1 and FR2 UE to UE co-ex table by adopting CA band approachNokia, Nokia Shanghai BellR4-1816202Correction to interband EN-DC OOBE emission requirementsNokia, Nokia Shanghai BellR4-1816203Receiver requirements for interband EN-DCNokia, Nokia Shanghai BellR4-1816207Draft CR to 38.101-3 rel. 15 to fix MPR issueApple GmbHR4-1816224Draft CR for 38.101-3 NS_04 applicability for intra-band EN-DCSPRINT CorporationR4-1816231Draft CR on output power dynamic for DCOPPOR4-1816237Correction for Intra-band contiguous EN-DC A-MPR definitionNokia, Nokia Shanghai BellR4-1816246Draft CR to TS38.101-3: Corrections on TS for MSD calculations based on ENDC bands combination including of bands 1,3,8, n77, and n78MediaTek Inc.R4-1816247Draft CR 38-101-3 Corrections for EN-DC Single Uplink allowed OperationSkyworks Solutions Inc.R4-1816250draft CR for adding note about the fallback of EN-DC in Applicability of minimum requirements for TS 38.101-3NTT DOCOMO, INC.R4-1816608Draft CR on LTE RMC for TDD EN-DC UE RF TestsQualcomm IncorporatedR4-1816613Draft CR for reducing AMPR for DC_(n)71AA without Dynamic Power Sharing""Motorola Mobility, T-Mobile""",15.4.0,
