Configuration,Description of serving cell,Description of target cell
1,"GSO, NR FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz","15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode"
2,"GSO, NR FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz","15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode"
3,"GSO, NR FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz","30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
4,"NGSO, NR FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz","15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode"
5,"NGSO, NR FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz","15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode"
6,"NGSO, NR FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz","30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
7,"GSO, NR HD-FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz","15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode"
8,"GSO, NR HD-FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz","15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode"
9,"GSO, NR HD-FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz","30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
10,"NGSO, NR HD-FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz","15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode"
11,"NGSO, NR HD-FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz","15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode"
12,"NGSO, NR HD-FDD, SSB SCS 15 kHz, data SCS 15 kHz, BW 10 MHz","30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
"NOTE 1:If UE supports both NGSO and GSO, the GSO-based test cases can be skipped if the UE passes NGSO-based test cases, and the UE is only required to be tested in one of the supported test configurations of the applicable scenario (GSO or NGSO). NOTE 2:If (e)RedCap UE supports both FDD and HD-FDD operation, the UE is only required to be tested in one of both.",,
