Parameter,,Unit,Value,Comment
Initial conditions,Active cell,,Cell 1,
,Neighbouring cell,,Cell 2,
Final condition,Active cell,,Cell 2,
"UE position (L, B, H) at T1 start",,,"(0, 0, 3000)","Set by AT command(L,B,H) is Geodetic coordinate, where L is latitude, B is longitude, and H is height."
UE moving speed,,km/h,"(1200, 0, 0)",Set by AT command
referenceLocation1-r17.condEventD1-r17,,m,"(-4600, 0, 0)",Reference location for serving cell
referenceLocation2-r17.condEventD1-r17,,m,"(14479, 0, 0)",Reference location for target cell
distanceThreshFromReference1-r17.condEventD1-r17,,50m,200,D1-1 Location condition is fulfilled at T2
distanceThreshFromReference2-r17.condEventD1-r17,,50m,200,D1-2 Location condition is fulfilled at T2
hysteresis-r17.condEventD1-r17,,10m,0,
timeToTrigger-r17.condEventD1-r17,,s,0,
A3-Offset in condition,,dB,-4,
Hysteresis,,dB,0,
Time To Trigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
Access Barring Information,,-,not barred,No additional delays in random access procedure.
Time offset between cells,,,3 s,Synchronous cells
T1,,s,5,
T2,,s,16,
