Parameter,,Unit,Value
,,,Test 1
Active PCell,,,Cell 1
RF Channel Number,,,1
Duplex mode,Config 1,,FDD
,"Config 2, 3",,TDD
TDD Configuration,Config 1,,Not Applicable
,Config 2,,TDDConf.1.1
,Config 3,,TDDConf.2.1
DL initial BWP configuration,"Config 1, 2, 3",,DLBWP.0.1
DL dedicated BWP configuration,"Config 1, 2, 3",,DLBWP.1.1
UL initial BWP configuration,"Config 1, 2, 3",,ULBWP.0.1
UL dedicated BWP configuration,"Config 1, 2, 3",,ULBWP.1.1
RMSI CORESET Reference Channel,Config 1,,CR.1.1 FDD
,Config 2,,CR.1.1 TDD
,Config 3,,CR.2.1 TDD
Dedicated CORESET Reference Channel,Config 1,,CCR.1.3 FDD
,Config 2,,CCR.1.3 TDD
,Config 3,,CCR.2.2 TDD
SSB Configuration,Config 1,,SSB.1 FR1
,Config 2,,SSB.1 FR1
,Config 3,,SSB.2 FR1
SMTC Configuration,"Config 1, 2",,SMTC.1
,Config 3,,SMTC.1
PDSCH/PDCCH subcarrier spacing,"Config 1, 2",,15 kHz
,Config 3,,30 kHz
TRS configuration,Config 1,,TRS.1.1 FDD
,Config 2,,TRS.1.1 TDD
,Config 3,,TRS.1.2 TDD
CSI-RS for RLM,Config 1,,Resource #4 in TRS.1.1 FDD
,Config 2,,Resource #4 in TRS.1.1 TDD
,Config 3,,Resource #4 in TRS.1.2 TDD
TCI configuration for PDCCH/PDSCH,,,TCI.State. 2
OCNG parameters,,,OP.1
CP length,,,Normal
Correlation Matrix and Antenna Configuration,,,2x2 Low
Out of sync transmission parameters,DCI format,,1-0
,Number of Control OFDM symbols,,2
,Aggregation level,CCE,8
,Ratio of hypothetical PDCCH RE energy to average CSI-RS RE energy,dB,4
,Ratio of hypothetical PDCCH DMRS energy to average CSI-RS RE energy,dB,4
,DMRS precoder granularity,,REG bundle size
,REG bundle size,,6
DRX,,,OFF
Gap pattern ID,,,gp0
Layer 3 filtering,,,Enabled
T310 timer,,ms,0
T311 timer,,ms,1000
N310,,,1
N311,,,1
CSI-RS configuration for CSI reporting,Config 1,,CSI-RS.1.1 FDD
,Config 2,,CSI-RS.1.1 TDD
,Config 3,,CSI-RS.2.1 TDD
T1,,s,0.2
T2,,s,0.48
T3,,s,0.48
D1,,s,0.44
NOTE 1:UE-specific PDCCH is not transmitted after T1 starts.,,,
