Parameter,,Unit,Test configuration,Value,Comment
Initialcondition,Active Cell,,"1, 2, 3",Cell 1,The UE camps on Cell 1 in the initial phase and enters into relaxed measurement mode before the end of T1 period
,Neighbour Cells,,"1, 2, 3",Cell 2,
T2 end condition,Active Cell,,"1, 2, 3",Cell 1,The UE shall fulfil the relaxed measurement criterion based on measurement and evaluation by MR during T1 period
,Neighbour Cells,,"1, 2, 3",Cell 2,
T3 end condition,Active Cell,,"1, 2, 3",Cell 1,"During T2 period, the UE shall exist the relaxed measurement mode based on measurement and evaluation by LP-WUR using LP-SS, and reselect to Cell 2 based on measurement and evaluation by MR"
,Neighbour Cells,,"1, 2, 3",Cell 2,
RF Channel Number,,,"1, 2, 3",1,
Time offset between Cells,,,1,3 ms,Asynchronous Cells
,,,2,3 s,Synchronous Cells
,,,3,3 s,Synchronous Cells
Access Barring Information,,-,"1, 2, 3",Not Sent,No additional delays in random access procedure.
SSB configuration,,,1,SSB.1 FR1,
,,,2,SSB.1 FR1,
,,,3,SSB.2 FR1,
LP-SS configuration,,,"1, 2, 3",LP-SS.2,
SMTC configuration,,,1,SMTC pattern 2,Configured in SIB2 of Cell 1
,,,,SMTC pattern 6,Configured in SIB2 of Cell 2
,,,2,SMTC pattern 1,
,,,3,SMTC pattern 1,
DRX cycle length,,s,"1, 2, 3",0.64,The value shall be used for all Cells in the test.
PRACH configuration index,,,"1, 2, 3",102,The detailed configuration is specified in TS 38.211 clause 6.3.3.2
rangeToBestCell,,,"1, 2, 3",Not configured,
T1,,s,"1, 2, 3",>7,"During T1, Cell 2 shall be powered off, and during the off time the physical cell identity shall be changed, the intention is to ensure that Cell 2 has not been detected by the UE prior to the start of period T2.Before the end of T1, the UE enters relaxed measurement mode."
T2,,s,"1, 2, 3",15,"T2 is based on the LR evaluation period based on LP-SS plus MR wake up period. During T2, only LP-SS signal is transmitted and the SSB signal from Cell 1 will not be transmitted"
T3,,s,"1, 2, 3",11,T3 needs to be defined so that cell re-selection time is taken into account.
