Parameter,,Unit,Cell 2,,
,,,T1,T2,T3
NR RF Channel Number,,,2,,
Duplex mode,ConfigSCell 1,,FDD,,
,"ConfigSCell 2,3",,TDD,,
TDD configuration,ConfigSCell 1,,Not Applicable,,
,ConfigSCell 2,,TDDConf.1.1,,
,ConfigSCell 3,,TDDConf.2.1,,
BWchannel,ConfigSCell 1,MHz,"10: NPRB,c = 52",,
,ConfigSCell 2,,"10: NPRB,c = 52",,
,ConfigSCell 3,,"40: NPRB,c = 106",,
BWP BW,ConfigSCell 1,MHz,"10: NPRB,c = 52",,
,ConfigSCell 2,,"10: NPRB,c = 52",,
,ConfigSCell 3,,"40: NPRB,c = 106",,
DRX Cycle,,ms,Not Applicable,,
PDSCH Reference measurement channel,ConfigSCell 1,,SR.1.1 FDD,,
,ConfigSCell 2,,SR.1.1 TDD,,
,ConfigSCell 3,,SR.2.1 TDD,,
CORESET Reference Channel,ConfigSCell 1,,CR.1.1 FDD,,
,ConfigSCell 2,,CR.1.1 TDD,,
,ConfigSCell 3,,CR.2.1 TDD,,
TRS configuration,ConfigSCell 1,,TRS.1.1 FDD,,
,ConfigSCell 2,,TRS.1.1 TDD,,
,ConfigSCell 3,,TRS.1.2 TDD,,
OCNG Patterns,,,OCNG pattern OP.1,,
SMTC Configuration,,,SMTC pattern SMTC.1,,
SSB Configuration,"ConfigSCell 1,2",,SSB.1 FR1,,
,ConfigSCell 3,,SSB.2 FR1,,
PDSCH/PDCCH subcarrier spacing,"ConfigSCell 1,2",kHz,15 kHz,,
,ConfigSCell 3,,30 kHz,,
PUCCH/PUSCH subcarrier spacing,"ConfigSCell 1,2",kHz,15 kHz,,
,ConfigSCell 3,,30 kHz,,
PRACH configuration,,,FR1 PRACH configuration 1,,
BWP configuraiton,Initial DL BWP,,DLBWP.0.1,,
,Dedicated DL BWP,,DLBWP.1.1,,
,Initial UL BWP,,ULBWP.0.1,,
,Dedicated UL BWP,,ULBWP.1.1,,
EPRE ratio of PSS to SSS,,dB,0,,
EPRE ratio of PBCH DMRS to SSS,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,
Note2,,dBm/15kHz,-98,,
Note2,"ConfigSCell 1,2",dBm/SCS,-98,,
,ConfigSCell 3,,-95,,
,,dB,8,8,8
,,dB,8,8,8
SSB_RP,"ConfigSCell 1,2",dBm/SCS,-90,-90,-90
,ConfigSCell 3,dBm/SCS,-87,-87,-87
IoNote3,"ConfigSCell 1,2",dBm/9.36 MHz,-61.41,-61.41,-61.41
,ConfigSCell 3,dBm/38.16 MHz,-55.31,-55.31,-55.31
Propagation condition,"ConfigSCell 1,2",-,AWGN+220 Hz,,
,ConfigSCell 3,-,AWGN+500 Hz,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,
