Parameter,,Test configuration,Unit,Cell 1,,Cell 2,
,,,,T1,T2,T1,T2
RF channel number,,"Config 1, 2, 3",,1,,2,
Duplex mode,,Config 1,,FDD,,,
,,"Config 2, 3",,TDD,,,
TDD configuration,,Config 1,,Not Applicable,,,
,,Config 2,,TDDConf.1.1,,,
,,Config 3,,TDDConf.2.1,,,
BWchannel,,"Config 1, 2",MHz,"10: NPRB,c = 52",,,
,,Config 3,,"40: NPRB,c = 106",,,
BWP BW,,"Config 1, 2",MHz,"10: NPRB,c = 52",,,
,,Config 3,,"40: NPRB,c = 106",,,
DRX Cycle,,"Config 1, 2, 3",ms,Not Applicable,,,
Gap pattern ID,,,,gp0,,,
PDSCH Reference measurement channel,,Config 1,,SR.1.1 FDD,,,
,,Config 2,,SR.1.1 TDD,,,
,,Config 3,,SR.2.1 TDD,,,
CORESET Reference Channel,,Config 1,,CR.1.1 FDD,,,
,,Config 2,,CR.1.1 TDD,,,
,,Config 3,,CR.2.1 TDD,,,
TRS configuration,,Config 1,,TRS.1.1 FDD,,,
,,Config 2,,TRS.1.1 TDD,,,
,,Config 3,,TRS.1.2 TDD,,,
OCNG Patterns,,"Config 1, 2, 3",,OP.1,,,
SMTC Configuration,,"Config 1, 2, 3",,SMTC.1,,,
SSB Configuration,,"Config 1, 2",,SSB.1 FR1,,,
,,Config 3,,SSB.2 FR1,,,
PDSCH/PDCCH subcarrier spacing,,"Config 1, 2",kHz,15 kHz,,,
,,Config 3,,30 kHz,,,
PUCCH/PUSCH subcarrier spacing,,"Config 1, 2",kHz,15 kHz,,,
,,Config 3,,30 kHz,,,
PRACH configuration,,"Config 1, 2, 3",,FR1 PRACH configuration 1,,,
BWP configuration,Initial DL BWP,"Config 1, 2, 3",,DLBWP.0.1,,,
,Dedicated DL BWP,,,DLBWP.1.1,,,
,Initial UL BWP,,,ULBWP.0.1,,,
,Dedicated UL BWP,,,ULBWP.1.1,,,
EPRE ratio of PSS to SSS,,"Config 1, 2, 3",dB,0,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,
Note2,,"Config 1, 2",dBm/SCS,-98,,,
,,Config 3,,-95,,,
,,"Config 1, 2, 3",dB,4,4,-Infinity,5
,,"Config 1, 2, 3",dB,4,4,-Infinity,5
SSB_RP,,"Config 1, 2",dBm/SCS,-94,-94,-Infinity,-93
,,Config 3,,-91,-91,-Infinity,-90
IoNote3,,"Config 1, 2",dBm/9.36 MHz,-64.59,-64.59,-70.05,-63.85
,,Config 3,dBm/38.16 MHz,-58.49,-58.49,-63.94,-57.75
Propagation condition,,"Config 1, 2",-,AWGN + 2412 HzNote4,,,
,,Config 3,,AWGN + 5556 HzNote5,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:2412 Hz is the maximum value of doppler with carrier frequency of 2170 MHz. The specific doppler shift trajectory is up to test system’s design considering of BS location and UE GNSS emulation.NOTE 5:5556 Hz is the maximum value of doppler with carrier frequency of 5 GHz. The specific doppler shift trajectory is up to test system’s design considering of BS location and UE GNSS emulation.,,,,,,,
