Parameter,Config,Unit,Value
SSB GSCN,1~4,,freq1
Duplex mode,"1, 2",,FDD
,"3, 4",,HD-FDD
TDD Configuration,1~4,,N/A
BWchannel,1~4,MHz,"10: NRB,c = 52"
Satellite information,"1, 3",,SSC.1
,"2, 4",,SSC.2
PDSCH Reference measurement channel,1~4,,SR.1.1 FDD
RMSI CORESET Reference Channel,1~4,,CR.1.1 FDD
Dedicated CORESET Reference Channel,1~4,,CCR.1.1 FDD
SSB configuration,1~4,,SSB.3 FR1
CSI-RS configuration,1~4,,CSI-RS 1.3 FDD
OCNG Patterns,1~4,,OP.1
TRS Configuration,1~4,,TRS.1.1 FDD
Initial BWP Configuration,1~4,,DLBWP.0.1ULBWP.0.1
Dedicated BWP configuration,1~4,,DLBWP.1.1ULBWP.1.1
SMTC configuration,1~4,,SMTC.1
DRX configuration,1~4,,DRX.3
reportConfigType,1~4,,aperiodic
reportQuantity,1~4,,cri-RSRP
Number of reported RS,1~4,,2
qcl-Info,1~4,,SSB#0 for resource#0
,,,SSB#1 for resource#1
reportSlotOffsetList,1~4,slots,8
T1,1~4,s,5
EPRE ratio of PSS to SSS,1~4,dB,0
EPRE ratio of PBCH DMRS to SSS,,,
EPRE ratio of PBCH to PBCH DMRS,,,
EPRE ratio of PDCCH DMRS to SSS,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,
EPRE ratio of PDSCH DMRS to SSS,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,
Propagation condition,1~4,,AWGN
Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,
