Parameter,,,Unit,Test 1,,Test 2,,,Test 3,,
,,,,Cell 1,Cell 2,Cell 1,Cell 2,,Cell 1,,Cell 2
SSB ARFCN,,,,freq1,freq2,freq1,freq2,,freq1,,freq2
Duplex mode,,"Config 1,2",,FDD,,,,,,,
,,"Config 3,4",,HD-FDD,,,,,,,
BWchannel,,"Config 1,2,3,4",MHz,"10: NPRB,c = 52",,,,,,,
Gap pattern ID,,"Config 1,2,3,4",,0,,,,,,,
BWP BW,,"Config 1,2,3,4",,"10: NPRB,c = 52",,,,,,,
DRX Cycle,,,ms,Not Applicable,,,,,,,
Satellite information,,"Config 1,3",,SSC.1,NSC.1,SSC.1,NSC.1,,SSC.1,,NSC.1
,,"Config 2,4",,SSC.2,NSC.2,SSC.2,NSC.2,,SSC.2,,NSC.2
PDSCH Reference measurement channel,,"Config 1,2,3,4",,SR.1.1 FDD,-,SR.1.1 FDD,-,,SR.1.1 FDD,,-
RMSI CORESET Reference Channel,,"Config 1,2,3,4",,CR.1.1 FDD,-,R.1.1 FDD,-,,CR.1.1 FDD,,
Dedicated CORESET Reference Channel,,"Config 1,2,3,4",,CCR.1.1 FDD,-,CCR.1.1 FDD,-,,CCR.1.1 FDD,,-
TRS Configuration,,"Config 1,2,3,4",,TRS.1.1 FDD,-,TRS.1.1 FDD,-,,TRS.1.1 FDD,,-
OCNG Patterns,,,,OCNG pattern 1,,,,,,,
Time offset with Cell 1,,"Config 1,2,3,4",ms,-,3,-,3,-,,3,
SMTC configuration,,"Config 1,2,3,4",,SMTC pattern 2,,,,,,,
SSB configuration,,"Config 1,2,3,4",,SSB pattern 1 in FR1,,,,,,,
CSI-RS for tracking,,"Config 1,2,3,4",,TRS.1.1 FDD,,,,,,,
PDSCH/PDCCH subcarrier spacing,,"Config 1,2,3,4",kHz,15 kHz,,,,,,,
EPRE ratio of PSS to SSS,,,dB,0,0,0,0,,0,,0
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,,,,
Note2,"Config 1,2,3,4",NR_FDD_SAB_FR1_A,dBm/15 kHz,-80.18,,-106,,,-116,,
Note2,"Config 1,2,3,4",NR_FDD_SAB_FR1_A,dBm/15 kHz,-80.18,,-106,,,-116,,
,,,dB,-1.75,,-1.75,,,3,,-1.75
,,,dB,-1.75,,-1.75,,,3,,-1.75
SS-RSRPNote3,"Config 1,2,3,4",NR_FDD_SAB_FR1_A,dBm/SCS,-81.93,-81.93,-107.75,-107.75,,-113,,-117.75
SS-RSRQNote3,,NR_FDD_SAB_FR1_A,dB,-14.77,-14.77,-14.76,-14.76,,-12.56,,-14.76
IoNote3,"Config 1,2,3,4",NR_FDD_SAB_FR1_A,dBm/9.36 MHz,-50,,-75.83,,,-83.28,,-85.83
Propagation condition,,,-,AWGN,AWGN,AWGN,AWGN,,AWGN,,AWGN
Antenna configuration,,,,1x1,1x1,1x1,1x1,,1x1,,1x1
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRQ, SS-RSRP, and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRQ, SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:NR operating band groups are as defined in clause 3.5.2.",,,,,,,,,,,
