Parameter,,,Unit,Value
,,,,Test 1
Active PCell,,,,Cell 1
RF Channel Number,,,,1
BWchannel,,"Config 1, 2, 3, 4",MHz,"10: NPRB,c = 52"
DL initial BWP configuration,,"Config 1, 2, 3, 4",,DLBWP.0.1
DL dedicated BWP configuration,,"Config 1, 2, 3, 4",,DLBWP.1.1
UL initial BWP configuration,,"Config 1, 2, 3, 4",,ULBWP.0.1
UL dedicated BWP configuration,,"Config 1, 2, 3, 4",,ULBWP.1.1
RMSI CORESET Reference Channel,,"Config 1, 2, 3, 4",,CR.1.1 FDD
Dedicated CORESET Reference Channel,,"Config 1, 2, 3, 4",,CCR.3.2 FDD
SSB Configuration,,"Config 1, 2, 3, 4",,SSB.1 FR1
SMTC Configuration,,"Config 1, 2, 3, 4",,SMTC.1
PDSCH/PDCCH subcarrier spacing,,"Config 1, 2, 3, 4",,15 kHz
PRACH Configuration,,"Config 1, 2, 3, 4",,Table  A.3.8.2.1-1
SSB index assigned as RLM RS,,,,0
OCNG parameters,,,,OP.1
CP length,,,,Normal
Correlation Matrix and Antenna Configuration,,,,2x1 Low
Out of sync transmission parameters,DCI format,,,1-0
,Number of Control OFDM symbols,,,2
,Aggregation level,,CCE,16
,Ratio of hypothetical PDCCH RE energy to average SSS RE energy,,dB,4
,Ratio of hypothetical PDCCH DMRS energy to average SSS RE energy,,dB,4
,DMRS precoder granularity,,,REG bundle size
,REG bundle size,,,6
DRX,,,,OFF
Gap pattern ID,,,,gp0
Layer 3 filtering,,,,Enabled
T310 timer,,,ms,0
T311 timer,,,ms,1000
N310,,,,1
N311,,,,1
CSI-RS configuration for CSI reporting,,"Config 1, 2, 3, 4",,CSI-RS.1.1 FDD
CSI-RS for tracking,,"Config 1, 2, 3, 4",,TRS.1.1 FDD
T1,,,s,0.2
T2,,,s,0.88
T3,,,s,0.88
D1,,,s,0.84
NOTE 1:All configurations are assigned to the UE prior to the start of time period T1.NOTE 2:UE-specific PDCCH is not transmitted after T1 starts.,,,,
