Parameter,Unit,Test configuration,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
Satellite information,,"1,2,3,7,8,9",SSC.1,,N/A,
,,"4,5,6,10,11,12",SSC.2,,,
TDD configuration,,"1,4,7,10",N/A,,N/A,
,,"2,5,8,11",,,TDDConf.1.1,
,,"3,6,9,12",,,TDDConf.2.1,
PDSCH RMC,,"1,4,7,10",SR.1.1 FDD,,SR.1.1 FDD,
configuration,,"2,5,8,11",,,SR.1.1 TDD,
,,"3,6,9,12",,,SR.2.1 TDD,
RMSI CORESET,,"1,4,7,10",CR.1.1 FDD,,CR.1.1 FDD,
RMC configuration,,"2,5,8,11",,,CR.1.1 TDD,
,,"3,6,9,12",,,CR.2.1 TDD,
Dedicated CORESET,,"1,4,7,10",CCR.1.1 FDD,,CCR.1.1 FDD,
RMC configuration,,"2,5,8,11",,,CCR.1.1 TDD,
,,"3,6,9,12",,,CCR.2.1 TDD,
OCNG Pattern,,1-12,OP.1 defined in clause A.3.2.1,,OP.1 defined in clause A.3.2.1,
Initial DL BWP configuration,,1-12,DLBWP.0.1,,DLBWP.0.1,
Initial UL BWP configuration,,1-12,ULBWP.0.1,,ULBWP.0.1,
RLM-RS,,1-12,SSB,,SSB,
Qrxlevmin,dBm/SCS,"1,2,4,5,7,8,10,11",-140,,-140,
,,"3,6,9,12",,,-137,
Pcompensation,dB,1-12,0,,0,
Cell_selection_and_reselection_quality_measurement,,1-12,SS-RSRP,,SS-RSRP,
,dB,1-6,14,14,-infinity,12
Note2,dBm/SCS,"1,2,4,5,7,8,10,11",-98,,-98,
,,"3,6,9,12",,,-95,
Note2,dBm/15 kHz,1-12,-98,,,
,dB,1-12,14,14,-infinity,12
SS-RSRP Note3,dBm/SCS,"1,2,4,5,7,8,10,11",-84,-84,-infinity,-86
,,"3,6,9,12",,,-infinity,-83
Io,dBm/Ch BW,"1,2,4,5,7,8,10,11",-55.88,-55.88,-70.05,-57.78
,,"3,6,9,12",,,-63.96,-51.69
Treselection,s,1-12,0,0,0,0
SnonintrasearchP,dB,1-12,50,,50,
"Threshx, highP",dB,1-12,48,,48,
"Threshserving, lowP",dB,1-12,44,,44,
"Threshx, lowP",dB,1-12,50,,50,
Propagation Condition,,1-12,AWGN,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,
