Parameter,Unit,Cell 2,
,,T1,T2
E-UTRA RF Channel number,,1,
BWchannel,MHz,10,
OCNG Patterns defined in TS 36.133 [15] clause A.3.2,,"OP.2 TDD for test configuration 1, 2,5OP.2 FDD for test configuration 3, 4,6",
PBCH_RA,dB,0,
PBCH_RB,dB,,
PSS_RA,dB,,
SSS_RA,dB,,
PCFICH_RB,dB,,
PHICH_RA,dB,,
PHICH_RB,dB,,
PDCCH_RA,dB,,
PDCCH_RB,dB,,
PDSCH_RA,dB,,
PDSCH_RB,dB,,
OCNG_RANote 1,dB,,
OCNG_RBNote 1,dB,,
Qrxlevmin,dBm,-140,
,dBm/15 kHz,-98,
RSRP,dBm/15 KHz,-infinity,-86
,dB,-infinity,12
,dB,-infinity,12
TreselectionEUTRAN,s,0,
SnonintrasearchP,dB,Not sent,
"Threshx, highP",dB,48,
"Threshserving, lowP",dB,44,
"Threshx, lowP (Note 2)",dB,50,
Propagation Condition,,AWGN,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:This refers to the value of  Threshx, Low  which is included in E-UTRA system information, and is a threshold for the NR target cell",,,
