Parameter,,,Unit,Test 1,,Test 2,
,,,,Cell 1,Cell 2,Cell 1,Cell 2
SSB ARFCN,,,,freq1,,freq1,
Duplex mode,,"Config 1, 2",,FDD,,,
,,"Config 3, 4",,HD-FDD,,,
Downlink initial BWP configuration,,,,DLBWP.0.1,,,
Downlink dedicated BWP configuration,,,,DLBWP.1.1,,,
Uplink initial BWP configuration,,,,ULBWP.0.1,,,
Uplink dedicated BWP configuration,,,,ULBWP.1.1,,,
DRX Cycle configuration,,,ms,Not Applicable,,,
Satellite information,,"Config 1, 3",,SSC.1,NSC.1,SSC.1,NSC.1
,,"Config 2, 4",,SSC.2,NSC.2,SSC.2,NSC.2
TRS configuration,,"Config 1, 2, 3, 4",,TRS.1.1 FDD,,TRS.1.1 FDD,
PDSCH Reference measurement channel,,"Config 1, 2, 3, 4",,SR.1.1 FDD,-,SR.1.1 FDD,-
RMSI CORESET Reference Channel,,"Config 1, 2, 3, 4",,CR.1.1 FDD,-,CR.1.1 FDD,
Dedicated CORESET Reference Channel,,"Config 1, 2, 3, 4",,CCR.1.1 FDD,-,CCR.1.1 FDD,-
OCNG Patterns,,,,OP.1,,,
SS-RSSI-Measurement,,,,Not Applicable,,,
SMTC configuration,,"Config 1, 2, 3, 4",,SMTC.2,,,
Time offset with Cell 1,,"Config 1, 2, 3, 4",ms,-,3,-,3
SSB configuration,,"Config 1, 2, 3, 4",,SSB.1 FR1,,,
PDSCH/PDCCH subcarrier spacing,,"Config 1, 2, 3, 4",kHz,15,,,
EPRE ratio of PSS to SSS,,,dB,0,0,0,0
EPRE ratio of PBCH DMRS to SSS,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,
Note2,,NR_FDD_SAB_FR1_A,dBm/15 kHz,-93,,-116,
Note2,"Config 1, 2, 3, 4",,dBm/SCS,-93,,Same as Noc for 15 kHz,
,,,dB,0,-3.19,-5.46,-5.46
,,,dB,4.54,2.66,-4,-4
SS-RSRPNote3,"Config 1, 2, 3, 4",NR_FDD_SAB_FR1_A,dBm/SCS,-88.46,-90.34,-120,-120
SS-SINR Note3,,NR_FDD_SAB_FR1_A,dB,0,-3.19,-5.46,-5.46
IoNote3,"Config 1, 2, 3, 4",NR_FDD_SAB_FR1_A,dBm/9.36 MHz,-57.5,,-85.51,
Propagation condition,,,-,AWGN,,,
Antenna configuration,,,-,1x1,,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-SINR, SS-RSRP, and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-SINR, SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:NR operating band groups are as defined in clause 3.5.2.",,,,,,,
