"One codeword: Codeword 0 enabled, Codeword 1 disabled",,"Two codewords: Codeword 0 enabled, Codeword 1 enabled",
Bit field mapped to index,Message,Bit field mapped to index,Message
0,4 layers: Transmit diversity,0,2 layers: TPMI=0
1,1 layer: TPMI=0,1,2 layers: TPMI=1
2,1 layer: TPMI=1,,
,,15,2 layers: TPMI=15
16,1 layer: TPMI=15,16,2 layers: Precoding according to the latest PMI report on PUSCH using the precoder(s) indicated by the reported PMI(s)
17,1 layer: Precoding according to the latest PMI report on PUSCH using the precoder(s) indicated by the reported PMI(s),17,3 layers: TPMI=0
18,2 layers: TPMI=0,18,3 layers: TPMI=1
19,2 layers: TPMI=1,,
,,32,3 layers: TPMI=15
33,2 layers: TPMI=15,33,3 layers: Precoding according to the latest PMI report on PUSCH using the precoder(s) indicated by the reported PMI(s)
34,2 layers: Precoding according to the latest PMI report on PUSCH using the precoder(s) indicated by the reported PMI(s),34,4 layers: TPMI=0
35 – 63,reserved,35,4 layers: TPMI=1
,,,
,,49,4 layers: TPMI=15
,,50,4 layers: Precoding according to the latest PMI report on PUSCH using the precoder(s) indicated by the reported PMI(s)
,,51 – 63,Reserved
