Two Codewords,
Value,Message
0,"2 layer, port 7-8, nSCID=0 (OCC=2)"
1,"2 layer, port 7-8, nSCID=1 (OCC=2)"
2,"2 layer, port 7-8, nSCID=0 (OCC=4)"
3,"2 layer, port 7-8, nSCID=1 (OCC=4)"
4,"2 layer, port 11,13, nSCID=0 (OCC=4)"
5,"2 layer, port 11,13, nSCID=1 (OCC=4)"
6,"3 layers, ports 7,9,10"
7,"4 layers, ports 7-10"
8,"5 layers, ports 7,8,9,10,12"
9,"6 layers, ports 7,8,11,9,10,12"
10,"7 layers, ports 7,8,11,9,10,12,14"
11,"8 layers, ports 7,8,11,13,9,10,12,14"
12,Reserved
13,Reserved
14,Reserved
15,Reserved
