Change history,,,,,,,
Date,TSG #,TSG Doc.,CR,Rev,Subject/Comment,Old,New
2006-09,,,,,Skeleton,,0.0.0
2006-10,,,,,Updated skeleton,0.0.0,0.0.1
2006-10,,,,,Endorsed skeleton,0.0.1,0.1.0
2006-11,,,,,"Added TC. Added Broadcast, Paging and MBMS transport channels in Table 4.2-1.",0.1.0,0.1.1
2006-11,,,,,Endorsed v 0.2.0,0.1.1,0.2.0
2006-12,,,,,Added CC. Added type of coding for each transport channel or control information.,0.2.0,0.2.1
2007-01,,,,,Editor's version,0.2.1,0.2.2
2007-01,,,,,Endorsed v 0.3.0,0.2.2,0.3.0
2007-02,,,,,Added QPP turbo Interleaver description.,0.3.0,0.3.1
2007-02,,,,,Editor's version,0.3.1,0.3.2
2007-02,,,,,Endorsed v 0.4.0,0.3.2,0.4.0
2007-02,,,,,"Added CRC details for PDSCH, PDCCH and PUSCH. Added QPP turbo-interleaver parameters. Set Z to 6144. Added details on code block segmentation.",0.4.0,0.4.1
2007-02,,,,,Editor's version,0.4.1,0.4.2
2007-03,RAN#35,RP-070170,,,For information at RAN#35,0.4.2,1.0.0
2007-03,,,,,Editor's version,1.0.0,1.0.1
2007-03,,,,,Editor's version,1.0.1,1.1.0
2007-05,,,,,Editor's version,1.1.0,1.1.1
2007-05,,,,,Editor's version,1.1.1,1.1.2
2007-05,,,,,Editor's version,1.1.2,1.2.0
2007-06,,,,,Added circular buffer rate matching for PDSCH and PUSCH. Miscellaneous changes.,1.2.0,1.2.1
2007-06,,,,,Editor's version,1.2.1,1.2.2
2007-07,,,,,Editor's version,1.2.2,1.2.3
2007-07,,,,,Endorsed by email following decision taken at RAN1#49b,1.2.3,1.3.0
2007-08,,,,,Editor's version including decision from RAN1#49bis.,1.3.0,1.3.1
2007-08,,,,,Editor's version,1.3.1,1.3.2
2007-08,,,,,Editor's version,1.3.2,1.4.0
2007-09,,,,,Editor's version with decisions from RAN1#50,"1,4.0","1,4,1"
2007-09,,,,,Editor's version,1.4.1,1.4.2
10/09/07,RAN#37,RP-070730,-,-,For approval at RAN#37,1.4.2,2.0.0
12/09/07,RAN_37,RP-070730,-,-,Approved version,2.0.0,8.0.0
28/11/07,RAN_38,RP-070949,0001,-,Update of 36.212,8.0.0,8.1.0
