i,"Mi,0","Mi,1","Mi,2","Mi,3","Mi,4","Mi,5","Mi,6","Mi,7","Mi,8","Mi,9","Mi,10","Mi,11","Mi,12"
0,1,1,0,0,0,0,0,0,0,0,1,1,0
1,1,1,1,0,0,0,0,0,0,1,1,1,0
2,1,0,0,1,0,0,1,0,1,1,1,1,1
3,1,0,1,1,0,0,0,0,1,0,1,1,1
4,1,1,1,1,0,0,0,1,0,0,1,1,1
5,1,1,0,0,1,0,1,1,1,0,1,1,1
6,1,0,1,0,1,0,1,0,1,1,1,1,1
7,1,0,0,1,1,0,0,1,1,0,1,1,1
8,1,1,0,1,1,0,0,1,0,1,1,1,1
9,1,0,1,1,1,0,1,0,0,1,1,1,1
10,1,0,1,0,0,1,1,1,0,1,1,1,1
11,1,1,1,0,0,1,1,0,1,0,1,1,1
12,1,0,0,1,0,1,0,1,1,1,1,1,1
13,1,1,0,1,0,1,0,1,0,1,1,1,1
14,1,0,0,0,1,1,0,1,0,0,1,0,1
15,1,1,0,0,1,1,1,1,0,1,1,0,1
16,1,1,1,0,1,1,1,0,0,1,0,1,1
17,1,0,0,1,1,1,0,0,1,0,0,1,1
18,1,1,0,1,1,1,1,1,0,0,0,0,0
19,1,0,0,0,0,1,1,0,0,0,0,0,0
