Parameter,,Unit,Test 1,,Test 2,,Test 3,
,,,Cell 1,Cell 2,Cell 1,Cell 2,Cell 1,Cell 2
E-UTRA RF Channel Number,,,1,,1,,1,
BWchannel,,MHz,10,,10,,10,
Measurement bandwidth,,,22—27,,22—27,,22—27,
PDSCH Reference measurement channel defined in A.3.1.1.1,,,R.0 FDD,-,R.0 FDD,-,R.0 FDD,-
PDSCH allocation,,,13—36,-,13—36,-,13—36,-
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.1,,,R.6 FDD,,R.6 FDD,,R.6 FDD,
OCNG Patterns defined in A.3.2.1.1 (OP.1 FDD) and A.3.2.1.2 (OP.2 FDD),,,OP.1 FDD,OP.2 FDD,OP.1 FDD,OP.2 FDD,OP.1 FDD,OP.2 FDD
PBCH_RA,,dB,0,0,0,0,0,0
PBCH_RB,,,,,,,,
PSS_RA,,,,,,,,
SSS_RA,,,,,,,,
PCFICH_RB,,,,,,,,
PHICH_RA,,,,,,,,
PHICH_RB,,,,,,,,
PDCCH_RA,,,,,,,,
PDCCH_RB,,,,,,,,
PDSCH_RA,,,,,,,,
PDSCH_RB,,,,,,,,
OCNG_RANote1,,,,,,,,
OCNG_RBNote1,,,,,,,,
Note2,Bands FDD_A Note 8,dBm/15 kHz,-84.76,-84.76,-103.85,-103.85,-116,
,"Bands FDD_B1, FDD_B2 Note 9",,,,,,-115.5,
,Bands FDD_C,,,,,,-115,
,Bands FDD_D,,,,,,-114.5,
,"Bands FDD_E, FDD_F Note 5",,,,,,-114,
,Bands FDD_G Note 7,,,,,,-113,
,Bands FDD_H,,,,,,-112.5,
,,dB,-1.76,-1.76,-4.7,-4.7,-5.46,-5.46
RSRPNote3,Bands FDD_A Note 8,dBm/15 kHz,-81.76,-81.76,-106.75,-106.75,-120,-120
,"Bands FDD_B1, FDD_B2 Note 9",,,,,,-119.5,-119.5
,Bands FDD_C,,,,,,-119,-119
,Bands FDD_D,,,,,,-118.5,-118.5
,"Bands FDD_E, FDD_F Note 5",,,,,,-118,-118
,Bands FDD_G Note 7,,,,,,-117,-117
,Bands FDD_H,,,,,,-116.5,-116.5
RSRQNote3,Bands FDD_A Note 8,dB,-14.77,-14.77,-16.76,-16.76,-17.34,-17.34
,"Bands FDD_B1, FDD_B2 Note 9",,,,,,,
,Bands FDD_C,,,,,,,
,Bands FDD_D,,,,,,,
,"Bands FDD_E, FDD_F Note 5",,,,,,,
,Bands FDD_G Note 7,,,,,,,
,Bands FDD_H,,,,,,,
IoNote3,Bands FDD_A Note 8,dBm/9 MHz,-50,-50,-73,-73,-85.67,
,"Bands FDD_B1, FDD_B2 Note 9",,,,,,-85.17,
,Bands FDD_C,,,,,,-84.67,
,Bands FDD_D,,,,,,-84.17,
,"Bands FDD_E, FDD_F Note 5",,,,,,-83.67,
,Bands FDD_G Note 7,,,,,,-82.67,
,Bands FDD_H,,,,,,-82.17,
,,dB,3,3,-2.9,-2.9,-4,-4
Propagation condition,,-,AWGN,,AWGN,,AWGN,
"Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:RSRQ, RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:RSRP and RSRQ minimum requirements are specified assuming independent interference and noise at each receiver antenna port.Note 5:For Band 26, the tests shall be performed with the carrier frequency of the assigned E-UTRA channel bandwidth within 865-894 MHz.Note 6:E-UTRA operating band groups are as defined in Section 3.5.Note 7:Except Band 29.Note 8:Except Band 32, Band 75, Band 76.Note 9:For Band 74, the tests shall be performed with the carrier frequency of the assigned E-UTRA channel bandwidth within 1475.9-1510.9 MHz.",,,,,,,,
