Parameter,Unit,Test 1,Test 2,Test 3
E-UTRA RF Channel Number,,1,,
BWchannel,MHz,10,,
OCNG Patterns defined in A.3.2.2.1 (OP.1 TDD),,OP.1 TDD,,
PBCH_RA,dB,0,,
PBCH_RB,,,,
PSS_RA,,,,
SSS_RA,,,,
PCFICH_RB,,,,
PHICH_RA,,,,
PHICH_RB,,,,
PDCCH_RA,,,,
PDCCH_RB,,,,
PDSCH_RA,,,,
PDSCH_RB,,,,
OCNG_RANote1,,,,
OCNG_RBNote1,,,,
Note2,dBm/15 kHz,-98,,
,dB,4,,
RSRPNote3,dBm/15 kHz,-94,,
IoNote3,dBm/9 MHz,-64.76,,
,dB,4,,
Propagation condition,-,AWGN,,
Note 1:  OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:  Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:  RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:  RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.,,,,
