Parameter,Unit,Cell 1,,Cell 2,
,,T1,T2,T1,T2
E-UTRA RF Channel Number,,1,,1,
BWchannel,MHz,1.4,,1.4,
PDSCH Reference Channel in clause A.3.1.4.1,,R.48 FDD,-,-,R.48 FDD
MPDCCH Reference Channel in clause A.3.1.3.1,,R.46 FDD,,R.46 FDD,
OCNG Patterns defined in A.3.2.1.1 (OP.1 FDD) and in A.3.2.1.2 (OP.2 FDD),,OP.21 FDD,OP.6 FDD,OP.6 FDD,OP.21 FDD
PBCH_RA,dB,-3,,-3,
PBCH_RB,dB,,,,
PSS_RA,dB,,,,
SSS_RA,dB,,,,
PCFICH_RB,dB,,,,
PHICH_RA,dB,,,,
PHICH_RB,dB,,,,
PDCCH_RA,dB,,,,
PDCCH_RB,dB,,,,
PDSCH_RA,dB,,,,
PDSCH_RB,dB,,,,
MPDCCH_RA,dB,,,,
MPDCCH_RB,dB,,,,
OCNG_RANote 1,dB,,,,
OCNG_RBNote 1,dB,,,,
,dB,8,-4.27,-Infinity,3.36
Note 2,dBm/15 KHz,-98,,,
,dB,8,8,- Infinity,12
RSRP Note 3,dBm/15 KHz,-90,-90,- Infinity,-86
Propagation Condition,,AWGN,,,
Antenna Configuration,,1x1,,,
Note 1: OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2: Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,
