Parameter,Unit,Test 1
BWchannel,kHz,200
NPDCCH parameter,,R.31 HD-FDD
NPDCCH repetition level for RAR,,4
NPBCH_RB,dB,0
NPSS_RA,dB,
NSSS_RA,dB,
NPDCCH_RA,dB,
NPDCCH_RB,dB,
NPDSCH_RA,dB,
NPDSCH_RB,dB,
OCNG_RANote1,dB,
OCNG_RBNote1,dB,
Note2,dBm/15 kHz,-98
NRS,dB,-6
Propagation condition,,AWGN
Antenna Configuration,,2x1
Scheduling delay in RAR (IDelay) Note3,,0
Channel quality IE Note4,,CQI-NPDCCH-NB
Note 1:OCNG shall be used such that active cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test are assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:See section 16.3.3 in TS 36.213 [23].Note 4:See TS 36.331 [2].,,
