Parameter,,Unit,Test 1,,,
,,,Cell 1,,Cell 2,
E-UTRA RF Channel Number,,,1,,,
BWchannel,,MHz,10,,,
Special subframe configurationNote1,,,6,,,
Uplink-downlink configurationNote1,,,1,,,
DMTC period,,ms,160,,,
DMTC period offset,,ms,10,,,
Discovery signal occasion duration,,ms,2,,,
CSI-RS resource configuration,,,2,,4,
CSI-RS periodicity,,ms,10,,,
CSI-RS subframe offset,,ms,0,,,
CSI-RS individual offset[2],,dB,0,0,,
CSI-RS muting,,,Enable,Enable,,
Time offset between cells,,µs,-,2.3,,
Measurement bandwidth,,,22—27,,,
PDSCH Reference measurement channel defined in A.3.1.1.1,,,R.0 TDD,,-,
PDSCH allocation,,,13—36,,-,
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.1,,,R.6 TDD,,,
OCNG Patterns defined in A.3.2.2.1 (OP.1 TDD) and A.3.2.2.2 (OP.2 TDD),,,OP.1 TDD,,OP.2 TDD,
PBCH_RA,,dB,0,,0,
PBCH_RB,,,,,,
PSS_RA,,,,,,
SSS_RA,,,,,,
PCFICH_RB,,,,,,
PHICH_RA,,,,,,
PHICH_RB,,,,,,
PDCCH_RA,,,,,,
PDCCH_RB,,,,,,
PDSCH_RA,,,,,,
PDSCH_RB,,,,,,
OCNG_RANote1,,,,,,
OCNG_RBNote1,,,,,,
p-C-r10[2],,dB,-6,,-6,
Note3,Bands TDD_A,dBm/15 kHz,-116,,,
,Bands TDD_C,,-115,,,
,Bands TDD_E,,-114,,,
CRS,,dB,0.46,,-5.76,
CSI-RS,,dB,6.46,,0.24,
RSRPNote4,Bands TDD_A,dBm/15 kHz,-113,,-117,
,Bands TDD_C,,-112,,-116,
,Bands TDD_E,,-111,,-115,
CSI-RSRP Note4,Bands TDD_A,dBm/15 kHz,(RSRP for Cell 1 +6dB),,(RSRP for Cell 2 +6dB),
,Bands TDD_C,,,,,
,Bands TDD_E,,,,,
IoNote4,Bands TDD_A,dBm/9 MHz,-82.43,,,
,Bands TDD_C,,-81.43,,,
,Bands TDD_E,,-80.43,,,
CRS,,dB,3,,-1,
CSI-RS,,dB,9,,5,
Propagation condition,,-,AWGN,,,
"Note 1:For special subframe and uplink-downlink configurations see Tables 4.2-1 and 4.2-2 in TS 36.211.Note 2:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 3:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 4:RSRP, CSI-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves. Io levels are calculated in CRS symbols of measurement subframe.Note 5:RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.Note 6:E-UTRA operating band groups are as defined in Section 3.5.Note 7:DMTC is provided to the UE in the measDS-Config (in TS36.331) before the beginning of the test.",,,,,,
