Parameter,E-UTRA operating band groups Note 3,Minimum CSI-RSRP Note 1,MinimumSCH_RP Note 1,CSI-RS Ês/Iot,SCH Ês/Iot
,,dBm/15kHz,dBm/15kHz,dB,dB
Conditions,"FDD_A, TDD_A",-119,-125,0,-6
,"FDD_B1, FDD_B2",-118.5,-124.5,,
,"FDD_C, TDD_C",-118,-124,,
,FDD_D,-117.5,-123.5,,
,"FDD_E, TDD_E",-117,-123,,
,FDD_F,-116.5 Note 2,-122.5 Note 2,,
,FDD_G,-116,-122,,
,FDD_H,-115.5,-121.5,,
,FDD_N,-112.5,-118.5,,
"NOTE 1:This condition level is increased by ∆>0, when applicable, as described in Sections B.4.2 and B.4.3.NOTE 2:The condition is -123 dBm/15kHz when the carrier frequency of the assigned E-UTRA channel bandwidth is within 865-894 MHz.NOTE 3:E-UTRA operating band groups are as defined in Section 3.5.",,,,,
