Parameter,Unit,Test configuration,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
E-UTRA RF Channel Number,,"1, 2",1,,,
BWchannel,MHz,"1, 2",1.4,,,
Satellite inforamtion,,1,SSC.1,,NSC.1,
,,2,SSC.2,,NSC.2,
PDSCH parameters:DL Reference Measurement Channel,,"1, 2",R.48 FDD,,-,
MPDCCH parameters:DL Reference Measurement Channel,,"1, 2",R.46 FDD,,R.46 FDD,
OCNG Patterns,,"1, 2",OP.7 FDD,,OP.7 FDD,
PBCH_RA,dB,"1, 2",-3,,-3,
PBCH_RB,dB,,,,,
PSS_RA,dB,,,,,
SSS_RA,dB,,,,,
PCFICH_RB,dB,,,,,
PHICH_RA,dB,,,,,
PHICH_RB,dB,,,,,
MPDCCH_RA,dB,,,,,
MPDCCH_RB,dB,,,,,
PDSCH_RA,dB,,,,,
PDSCH_RB,dB,,,,,
OCNG_RANote 1,dB,,,,,
OCNG_RBNote 1,dB,,,,,
Note 2,dBm/15 KHz,"1, 2",-98,,,
,dB,"1, 2",4,4,-Infinity,4
Note 3,dB,"1, 2",4,-1.46,-Infinity,-1.46
RSRP Note 3,dBm/15 KHz,"1, 2",-94,-94,-Infinity,-94
SCH_RP Note 3,dBm/15 KHz,"1, 2",-94,-94,-Infinity,-94
Io Note 3,dBm/9MHz,"1, 2",-64.76,-62.42,Specified inCell 1 columns,
Propagation Condition,,"1, 2",AWGN,,AWGN,
Correlation Matrix and Antenna Configuration,,"1, 2",1x1,,1x1,
Timing offset to Cell 1,s,"1, 2",-,,3,
"Note 1:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.Note 3:Es/Iot, RSRP, SCH_RP and Io have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.",,,,,,
