Parameter,,Unit,Value,Comment
Serving cell (PCell),,,Cell 1,Cell to be measured
Neighbour cell,,,Cell 2 and Cell 3,"Cell 2 is the first interfering cell to Cell 1, whilst Cell 3 is the second interfering cell to Cell 1."
ABS transmission configuration,,,Non-MBSFN ABS,As defined in Table A.3.4.1.1-1
E-UTRA RF Channel Number,,,1,One TDD carrier frequency is used
Downlink Channel Bandwidth (BWchannel),,MHz,10,For all cells in the test
CP length,,,Normal,For all cells in the test
Special subframe configuration,,,6,For all cells in the test. For special subframe configurations see Table 4.2-1 in [16].
Uplink/downlink subframe configuration,,,1,For all cells in the test. For uplink-downlink subframe configurations see Table 4.2-2 in [16].
DRX,,,,OFF
Time offset between cells,,s,Cell 2 offset with respect to Cell 1: 3Cell 3 offset with respect to Cell 1: 2,Three synchronous cells
Physical cell ID PCI,,,(PCIcell1 - PCIcell2 )mod6 =0(PCIcell1 - PCIcell3 )mod6 !=0,Cell PCIs are selected so that both conditions are met
ABS pattern,,,‘00000000010000000001’,"Non-MBSFN ABS. TDD ABS Pattern Info IE, as defined in TS 36.423 [28], clause 9.2.54. The first/leftmost bit corresponds to the Pcell subframe #0 of a radio frame satisfying SFN mod x = 0, where x is the size of the bit string (20) divided by 10. No MBSFN subframes are configured in the ABS subframes. Configured in Cell 2 and Cell 3 during the testing."
Time-domain measurement resource restriction pattern for serving cell measurements,,,‘00000000010000000001’,Configured for measurements on Cell 1.
CRS assistance information,physCellId,,see PCI conditions above,The CRS assistance information is provided for Cell 2 and Cell 3 in CRS-AssistanceInfo. It includes a single MBSFN-SubframeConfig element with subframe allocation one Frame=’000000’.
,antennaPortsCount,,1,
,mbsfn-SubframeConfigList,,oneFrame = ‘000000’,
