Parameter,Unit,Value,Comments,
NB-IOT operational mode,,Standalone,,
BWchannel,kHz,200,,
"NPDSCH parameters Note 2,4",,R.18 HD-FDD,As defined in A.3.1.5.3,
NPDCCH parameters Note 2,,R.30 HD-FDD,As defined in A.3.1.6.3,
NPBCH_RA,dB,0,,
NPBCH_RB,dB,,,
NPSS_RA,dB,,,
NSSS_RA,dB,,,
NPDCCH_RA,dB,,,
NPDCCH_RB,dB,,,
NPDSCH_RA,dB,,,
NPDSCH_RB,dB,,,
NOCNG_RA Note 1,dB,,,
NOCNG_RB Note 1,dB,,,
DRX,,OFF,,
,dBm/15 kHz,-98,,
,dB,-12.5,,
Note 3,dB,-12.5,,
NRSRP Note 3,dBm/15 kHz,-110.5,,
Io Note 3,dBm/180KHz,-86.97,,
Propagation Condition,-,AWGN,,
Antenna Configuration,,1x1,,
"Note 1:NOCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols. The OCNG pattern is chosen during the test according to the presence of a DL reference measurement channel.Note 2:The NPDSCH and NPDCCH reference measurement channels are used in the test only when a downlink transmission dedicated to the UE under test is required.Note 3:Es/Iot, NRSRP and Io level has been derived from other parameters for information purpose. They are not settable parameters themselves.Note 4:Whe the System Simulator sends a message addressed to the temporary C-RNTI with a UE Contention Resolution Identity included in the MAC control element, the Information Bit Payload is 144 bits for Sub-Frame 1, 2, 3, 6, 7, and 8, and 144 bits for subframes 4 and 9 scheduled with NPDSCH when mod 2 ≠ 0. Otherwise 0 bits.",,,,
