,Bands FDD_D,,,,-119.5,,,,,,,,,
,"Bands FDD_E, FDD_F Note 7",,,,-119,,,,,,,,,
,Bands FDD_G,,,,-118,,,,,,,,,
,Bands FDD_H,,,,-117.5,,,,,,,,,
IoNote4,Bands TDD_A,,dBm/ BWchannel,,"-87.76+10log(NRB,c/50)",,(Io for Channel 1 +5.33dB +10log(NRB channel2 / NRB channel 1)),,,,(Io for Channel 1 +5.33dB +10log(NRB channel3 / NRB channel 1)),,,
,Bands TDD_C,,,,"-86.76+10log(NRB,c/50)",,,,,,,,,
,Bands TDD_E,,,,"-85.76+10log(NRB,c/50)",,,,,,,,,
,Bands FDD_A,,,,"-87.76+10log(NRB,c/50)",,,,,,,,,
,"Bands FDD_B1, FDD_B2 Note 10",,,,"-87.26+10log(NRB,c/50)",,,,,,,,,
,Bands FDD_C,,,,"-86.76+10log(NRB,c/50)",,,,,,,,,
,Bands FDD_D,,,,"-86.26+10log(NRB,c/50)",,,,,,,,,
,"Bands FDD_E, FDD_F Note 7",,,,"-85.76 +10log(NRB,c/50)",,,,,,,,,
,Bands FDD_G,,,,"-84.76 +10log(NRB,c/50)",,,,,,,,,
,Bands FDD_H,,,,"-84.26 +10log(NRB,c/50)",,,,,,,,,
Propagation condition,,,-,,AWGN,,AWGN,,AWGN,,AWGN,,AWGN,
Antenna Configuration,,,-,,1x2,,1x2,,1x2,,1x2,,1x2,
Timing offset to cell 1,,,s,,-,,0,,3,,0,,3,
Time alignment error relative to cell 1 Note 8,,,,,-,,TAE,,-,,TAE,,-,
Time alignment error relative to cell 2Note 8,,,,,-,,-,,-,,TAE,,-,
"Note 1:For special subframe and uplink-downlink configurations see Tables 4.2-1 and 4.2-2 in TS 36.211.Note 2:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 3:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 4:RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 5:RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.Note 6:The selection of the bands for testing depends on the configuration of the carrier aggregation supported by the UEs.Note 7:For Band 26, the tests shall be performed with the carrier frequency of the assigned E-UTRA channel bandwidth within 865-894 MHz.Note 8:Time alignment error (TAE) as specified in TS 36.104 [30] clause 6.5.3.1. The TAE value depends upon the type of carrier aggregation.Note 9:E-UTRA operating band groups are as defined in Section 3.5.Note 10:For Band 74, the tests shall be performed with the carrier frequency of the assigned E-UTRA channel bandwidth within 1475.9-1510.9 MHz.",,,,,,,,,,,,,,
