Parameter,Unit,Cell 1,,,Cell 2,,,,,,
,,T1,T2,T3,T1,,T2,,,T3,
E-UTRA RF Channel Number,,1,,,,,,,,,
BWchannel,MHz,1.4,,,,,,,,,
PDSCH Reference Channel in clause A.3.1.4.2,,R.49 HD-FDD,R.49 HD-FDD,-,-,-,,,R.49 HD-FDD,,
MPDCCH Reference Channel in clause A.3.1.3.2,,R.47 HD-FDD,,,R.47 HD-FDD,,,,,,
OCNG Patterns in clause A.3.2.1,,OP.21 FDD,OP.21 FDD,OP.6 FDD,OP.6 FDD,OP.6 FDD,,,OP.21 FDD,,
PBCH_RA,dB,-3,,,-3,,,,,,
PBCH_RB,dB,,,,,,,,,,
PSS_RA,dB,,,,,,,,,,
SSS_RA,dB,,,,,,,,,,
PCFICH_RB,dB,,,,,,,,,,
PHICH_RA,dB,,,,,,,,,,
PHICH_RB,dB,,,,,,,,,,
PDCCH_RA,dB,,,,,,,,,,
PDCCH_RB,dB,,,,,,,,,,
MPDCCH_RA,dB,,,,,,,,,,
MPDCCH_RB,dB,,,,,,,,,,
PDSCH_RA,dB,,,,,,,,,,
PDSCH_RB,dB,,,,,,,,,,
OCNG_RANote 1,dB,,,,,,,,,,
OCNG_RBNote 1,dB,,,,,,,,,,
Note 2,dBm/15 KHz,-98,,,,,,,,,
Note 3,dB,8,8,8,-Infinity,,12,,,12,
,dB,8,-4.27,-4.27,-Infinity,,,3.36,,,3.36
RSRP Note 3,dBm/15 KHz,-90,-90,-90,-Infinity,,-86,,,-86,
Propagation Condition,,AWGN,,,AWGN,,,,,,
Antenna Configuration,,1x1,,,1x1,,,,,,
Timing offset to Cell 1Synchronous cells,us,-,,,3,,,,,,
Note 1: OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2: Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:Es/Iot and RSRP level has been derived from other parameters for information purpose. They are not settable parameters themselves,,,,,,,,,,,
