Parameter,,Unit,Test 1,,
,,,Cell 1,Cell 2,Cell 3
BWchannel Note 1,,MHz,5,5,5
Measurement bandwidth,,,10-15,10-15,10-15
PDSCH Reference measurement channel defined in A.3.1.1.2,,,R.4 TDD,R.4 TDD,N/A
PDSCH allocation,,,7-17,7-17,N/A
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.2,,,R.11 TDD,,
OCNG Patterns defined in A.3.1.2.9 (OP.9 TDD) and A.3.2.2.10 (OP.10 TDD),,,OP.9 TDD,OP.9 TDD,OP.10 TDD
IoNote2,Bands TDD_A Note 5,dBm/4.5MHz,-90.76,(Io for Channel 1 +5.33dB),
,Bands TDD_C Note 5,,-89.76,,
,Bands TDD_E Note 5,,-88.76,,
Note 1:This test verifies the RRM requirement which is independent of channel bandwidth and is performed according to the principle defined in section A.3.6.1.Note 2:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 3:See Table A.9.1.7.2-1 for the other parameters.Note 4:E-UTRA operating band groups are as defined in Section 3.5.Note 5:The test applies for E-UTRA operating bands in this band group which are supporting 5MHz + 5MHz channel bandwidth.,,,,,
