Parameter,Unit,Test 1,
,,Cell 1,Cell 2
E-UTRA RF Channel Number,,1,2
BWchannel,MHz,51020,20
Listen before talk model,,Not applicable,Not used
Measurement bandwidth,,6,
PDSCH Reference measurement channel defined in A.3.1.1.1,,5MHz: R.4 TDD10MHz: R.0 TDD20MHz: R.3 TDD,R0.FS3
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.1,,5MHz: R.11 TDD10MHz: R.6 TDD20MHz: R.10 TDD,R0.FS3
OCNG Patterns defined in A.3.2.1.1 (OP.1 FDD) and A.3.2.1.2 (OP.2 FDD),,5MHz: OP.9 TDD10MHz: OP.1 TDD20MHz: OP.7 TDD,OP.14 FDD
PBCH_RA,dB,0,0
PBCH_RB,,,
PSS_RA,,,
SSS_RA,,,
PCFICH_RB,,,
PHICH_RA,,,
PHICH_RB,,,
PDCCH_RA,,,
PDCCH_RB,,,
PDSCH_RA,,,
PDSCH_RB,,,
OCNG_RANote1,,,
OCNG_RBNote1,,,
in subframes not corresponding to RSSI measurement time configuration (RMTC),dBm/15 kHz,-106,-106
in subframes corresponding to RSSI measurement time configuration (RMTC),dBm/15 kHz,-106,-83
in subframes not corresponding to RSSI measurement time configuration (RMTC),dB,2.5,2.5
in subframes corresponding to RSSI measurement time configuration (RMTC),dB,2.5,-Infinity
RSRP in subframes not corresponding to RSSI measurement time configuration (RMTC),dBm/15 kHz,-103.5,-103.5
RSRP in subframes corresponding to RSSI measurement time configuration (RMTC),,-103.5,-Infinity
Io within measurement bandwidth in subframes corresponding to RSSI measurement time configuration (RMTC),dBm/1.08 MHz,-83,-64.43
Io within measurement bandwidth in subframes not corresponding to RSSI measurement time configuration (RMTC),dBm/1.08 MHz,-83,-83
Propagation condition,-,AWGN,
