Parameter,Unit,Cell 1,Cell 2,Cell 3
E-UTRAN RF Channel Number,,1,1,1
PDSCH Reference measurement channel defined in A.3.1.1.2,,R.0 TDD,N/A,N/A
PDSCH allocation,,13—36,N/A,N/A
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.2,,R.6 TDD,N/A,N/A
OCNG Patterns defined in A.3.2.2.1 (OP.1 TDD) and A.3.2.2.2 (OP.2 TDD),,OP.1 TDD,OP.2 TDD,OP.2 TDD
PBCH_RA,dB,0,Non-ABS and ABS subframe channel powers defined in Table A.3.4.1.1-1.,
PBCH_RB,dB,,,
PSS_RA,dB,,,
SSS_RA,dB,,,
PCFICH_RB,dB,,,
PHICH_RA,dB,,,
PHICH_RB,dB,,,
PDCCH_RA,dB,,,
PDCCH_RB,dB,,,
PDSCH_RA,dB,,,
PDSCH_RB,dB,,,
OCNG_RANote1,dB,,,
OCNG_RBNote1,dB,,,
Note2,dBm/15 kHz,-98,-98,-98
CRS,dB,-3,3,1
CRS  Note 3,dB,-7.76,1.24,-0.76
CRS  Note 3,dB,-9.29,-1.41,-4.44
RSRP Note 4,dBm/15 kHz,-101,-95,-97
Note 4,dBm/9 MHz,-67.11,-67.11,-67.11
Note 4,dBm/9 MHz,-63.45,-63.45,-63.45
Propagation Condition,,AWGN,,
"Note 1:OCNG shall be used such that the resources in the active cell are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modeled as AWGN of appropriate power for  to be fulfilled. Note 3:is calculated in CRS REs in the subframes indicated for PCell measurements by measurement resource restriction pattern, whilst  is calculated in CRS REs in the subframes not indicated for PCell measurements by measurement resource restriction paattern.Note 4:RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.  is calculated in CRS symbols in the subframes indicated for PCell measurements by measurement resource restriction pattern, whilst   is calculated in CRS symbols",,,,
