Parameter,,Unit,Value,Comment
Initial conditions,Active cell,,Cell 1,Cell 1 is on RF channel number 1
,Neighbouring cell,,Cell 2,Cell 2 is on RF channel number 2
Final condition,Active cell,,Cell 2,
A3-Offset,,dB,0,
Hysteresis,,dB,0,
Time To Trigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
DRX,,,,OFF
CP length,,,Normal,
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
PRACH configuration,,,PRACH_4CE,As specified in A.3.16
PRACH initial CE level,,,0,Specified in the handover message
T1,,s,5,
T2,,s,1.5,
T3,,s,1,
Gap pattern ID,,,0,
"UE position (N,S, H) at T2 start",,,"[(0, 0, 0)]",Set by AT command
UE moving speed,,km/h,"[(108, 0, 0)]",Set by AT command
referenceLocation1-r17.condEventD1-r17,,m,"[(-700, 0, 0)]",Reference location for serving cell
referenceLocation2-r17.condEventD1-r17,,m,"[(1300, 0, 0)]",Reference location for target cell
