Parameter,Unit,SyncRef UE 1,,,SyncRef UE 2,,
,,T1,T2,T3,T1,T2,T3
E-UTRA RF Channel Number,,1,,,,,
BWchannel Note 4,MHz,5 or 10,,,,,
V2X Sidelink Communication resource pool configuration,,As specified in Table A.3.24.2-1(Configuration #1),,,As specified in Table A.3.24.2-2(Configuration #2),,
networkControlledSyncTx,,N/A,,,ON,,
syncTxThreshOoC,dBm/15 kHz,+infinity,,,N/A,,
slssid,,0,,,0,,
inCoverage (in MIB-SL),,FALSE,,,TRUE,,
syncOffsetIndicator,,syncOffsetIndicator2,,,syncOffsetIndicator1,,
Note1,dBm/15 kHz,-95,,,,,
,dB,-infinity,0,0,-infinity,-infinity,3
,dB,-infinity,0,0,-infinity,-infinity,3
"S-RSRP Note2, Note 3",dBm/15 kHz,-infinity,-95,-95,-infinity,-infinity,-92
Propagation Condition,,AWGN,,,,,
Note 1:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 2:S-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 3:SSSS Es/Iot is set the same as PSSS/PSBCH Es/Iot.,,,,,,,
