Parameter,Unit,Value,Comment
PDSCH parameters,,DL Reference Measurement Channel R.0 FDD,As specified in clause A.3.1.1.1
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 FDD,As specified in clause A.3.1.2.1
Serving cell (PCell),,Cell 1,Also the aggressor cell on E-UTRA RF channel number 1
Neighbour cell,,Cell 2,Cell to be identified on E-UTRA RF channel number 1
PCell ABS configuration,,MBSFN ABS,As defined in Table A.3.4.2.1-1
CP length,,Normal,
DRX,,OFF,
Time offset between cells,,3 s,Synchronous cells
Physical cell ID PCI,,"(PCIcell1 - PCIcell2 ) mod 6 = 0, PCIcell1 not equal to PCIcell2",Cell PCIs are selected so that the condition is met (colliding CRS)
Cell 1 MBSFN ABS pattern,,‘0100000010000000100000000010000001000000’,"ABS subframe is only MBSFN subframe. FDD ABS Pattern Info IE, as defined in TS 36.423 [28], clause 9.2.54. The first/leftmost bit corresponds to the subframe #0 of the radio frame satisfying SFN mod x = 0, where x is the size of the bit string (40) divided by 10.Configured in Cell 1."
Time domain measurement resource restriction pattern for PCell (Cell 1) measurements on RF Channel 1,,‘0001000000010000000100000001000000010000’,"Time domain measurement resource restriction pattern for PCell measurement signalled to the UE in measSubframePatternPCell. The IE MeasSubframePattern is used to specify the time domain measurement resource restriction as defined in TS 36.331 [2], clause 6.3.6. Configured for Cell 1 measurements."
Time domain measurement resource restriction pattern for neighbour cell (Cell 2) measurements on RF Channel 1,,‘0100000010000000100000000010000001000000’,"Time domain measurement resource restriction pattern for neighbour cell measurement signalled to the UE in measSubframePatternNeigh The IE MeasSubframePattern is used to specify the time domain measurement resource restriction as defined in TS 36.331 [2], clause 6.3.6. Configured for Cell 2 measurements."
