Parameter,,Unit,Value,Comment
E-UTRA RF Channel Number,,,1,Band 47 TDD
Channel Bandwidth (BWchannel),,MHz,10,
Active cell,,,None,
Active SyncRef UE,,,SyncRef UE 1,Transmitting SLSS+MIB-SL on uplink of RF channel number 1
V2X sidelink communication configuration,,,As specified in Table A.3.22.2-2(Configuration #1),IE values unless specified otherwise in this test.
PSCCH Reference Measurement Channel,,,CC.1A,Defined in Table A.3.22.3-1
PSSCH Reference Measurement Channel,,,CD.1A,Defined in Table A.3.22.3-2
,,dBm/15 kHz,-98,
SyncRef UE 1,syncCP-Len,,Normal,
,syncOffsetIndicator,,3,
,slssid,,30,
,inCoverage,,TRUE,In MIB-SL
,networkControlledSyncTx,,ON,
,V2X sidelink communication resource pool configuration,,As specified in Table A.3.22.2-2(Configuration #2),IE values unless specified otherwise in this test; Note resource pool is same as Configuration #1 used by V2X UE.
,,,3,
,"S-RSRP Note1, Note 2",,-95,
Propagation condition,,,AWGN,
Note 1:S-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 2:SSSS Es/Iot is set the same as PSSS/PSBCH Es/Iot.,,,,
