Parameter,,Unit,Value,Comment
E-UTRA RF Channel Number,,,1,TDD carrier in Band 47
Channel Bandwidth (BWchannel),,MHz,10,
V2X sidelink communication pre-configuration,,,As specified in Table A.3.24.2-1(Configuration #1),IE values unless specified otherwise in this test.
sl-Subframe-r14 included in SL-PreconfigV2X-TxPoolList,,,11111111111111111111,"Indicates the bitmap of the TX resource pool, which is defined by repeating the bitmap within a SFN cycle (see TS 36.213 [23])"
numSubchannel-r14 included in SL-PreconfigV2X-TxPoolList,,,5,Indicates the number of sub-channels for TX resource pool
minSubChannel-NumberPSSCH-r14 included in v2x-ResourceSelectionConfig-r14,,,1,Indicates the minimum number of sub-channels which may be used for transmissions on PSSCH
maxSubchannel-NumberPSSCH-r14 included in v2x-ResourceSelectionConfig-r14,,,1,Indicates the maximum number of sub-channels which may be used for transmissions on PSSCH
Number of Active Sidelink UEs,,,20,"Active Sidelink UE i = 0, .., 19"
SL-ThresPSSCH-RSRP,,,12,Corresponding -106 dBm as defined in Section 6.3.8 in TS36.331
Active Sidelink UEs,V2X sidelink Communication preconfiguration,,As specified in Table A.3.24.2-1(Configuration #1),IE values unless specified otherwise in this test.
,sl-Subframe-r14 included in SL-PreconfigV2X-TxPoolList,,10000000000000000000,"Indicates the bitmap of the TX resource pool, which is defined by repeating the bitmap within a SFN cycle (see TS 36.213 [23])"
,numSubchannel-r14 included in SL-PreconfigV2X-TxPoolList,,1,Indicates the number of sub-channels for TX resource pool
,startRB-Subchannel-r14 included in SL-PreconfigV2X-TxPoolList,,5,Indicates the lowest RB index of the subchannel with the lowest index.
,startRB-PSCCH-Pool-r14 included in SL-PreconfigV2X-TxPoolList,,5,Indicates the lowest RB index of the PSCCH pool.
,sl-OffsetIndicator-r14,,i mod 20,"For Active Sidelink UE i, where i = 0, .., 19"
Timing offset among Active Sidelink UEs,,s,3,Synchronous
