Parameter,,Unit,Test 1,,Test 2,,Test 3,
,,,Cell 1,Cell 2,Cell 1,Cell 2,Cell 1,Cell 2
E-UTRA RF Channel Number,,,1,,1,,1,
BWchannel,,MHz,10,,10,,10,
Measurement bandwidth,,,22—27,,22—27,,22—27,
PDSCH Reference measurement channel defined in A.3.1.1.1,,,R.0 FDD,-,R.0 FDD,-,R.0 FDD,-
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.1,,,R.6 FDD,,R.6 FDD,,R.6 FDD,
OCNG Patterns defined in A.3.2.1.1 (OP.1 FDD) and A.3.2.1.2 (OP.2 FDD),,,OP.1 FDD,OP.2 FDD,OP.1 FDD,OP.2 FDD,OP.1 FDD,OP.2 FDD
PBCH_RA,,dB,0,0,0,0,0,0
PBCH_RB,,,,,,,,
PSS_RA,,,,,,,,
SSS_RA,,,,,,,,
PCFICH_RB,,,,,,,,
PHICH_RA,,,,,,,,
PHICH_RB,,,,,,,,
PDCCH_RA,,,,,,,,
PDCCH_RB,,,,,,,,
PDSCH_RA,,,,,,,,
PDSCH_RB,,,,,,,,
OCNG_RANote1,,,,,,,,
OCNG_RBNote1,,,,,,,,
Note2,Bands FDD_A Note 8,dBm/15 kHz,[-96],,[-88],,-116,
,"Bands FDD_B1, FDD_B2 Note 9",,,,,,-115.5,
,Bands FDD_C,,,,,,-115,
,Bands FDD_D,,,,,,-114.5,
,"Bands FDD_E, FDD_F Note 5",,,,,,-114,
,Bands FDD_G Note 7,,,,,,-113,
,Bands FDD_H,,,,,,-112.5,
,,dB,[2.21],[-3.97],[1.24],[-3.97],[1.24],[-3.97]
RSRPNote3,Bands FDD_A Note 8,dBm/15 kHz,[-90],[-93],[-82],[-85],[-110],[-113]
,"Bands FDD_B1, FDD_B2 Note 9",,,,,,[-109.5],[-112.5]
,Bands FDD_C,,,,,,[-109],[-112]
,Bands FDD_D,,,,,,[-108.5],[-111.5]
,"Bands FDD_E, FDD_F Note 5",,,,,,[-108],[-111]
,Bands FDD_G Note 7,,,,,,[-107],[-110]
,Bands FDD_H,,,,,,[-106.5],[-109.5]
IoNote3,Bands FDD_A Note 8,dBm/9 MHz,[-59.78],,[-51.78],,[-79.78],
,"Bands FDD_B1, FDD_B2 Note 9",,,,,,[-79.28],
,Bands FDD_C,,,,,,[-78.78],
,Bands FDD_D,,,,,,[-78.28],
,"Bands  FDD_E, FDD_F Note 5",,,,,,[-77.78],
,Bands FDD_G Note 7,,,,,,[-76.78],
,Bands FDD_H,,,,,,[-76.28],
,,dB,[6],[3],[6],[3],[6],[3]
Propagation condition,,-,AWGN,,AWGN,,AWGN,
"Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.Note 5:For Band 26, the tests shall be performed with the carrier frequency of the assigned E-UTRA channel bandwidth within 865-894 MHz.Note 6:E-UTRA operating band groups are as defined in Section 3.5. Note 7:Except Band 29.Note 8:Except Band 32, Band 75, Band 76.Note 9:For Band 74, the tests shall be performed with the carrier frequency of the assigned E-UTRA channel bandwidth within 1475.9-1510.9 MHz.",,,,,,,,
