Parameter,,Unit,Value,Comment
Serving cell (PCell),,,Cell 1,The aggressor cell to Cell 3
Neighbour cell,,,Cell 2,The aggressor cell to Cell 3
Neighbour cell,,,Cell 3,Cell to be measured
PCell ABS configuration,,,Non-MBSFN ABS,As defined in Table A.3.4.1.1-1
CP length,,,Normal,For three cells in the test
DRX,,,,OFF
Cell 2 time offset with respect to Cell 1,,,0s,Synchronous cells
Cell 3 time offset with respect to Cell 1,,,-2.5 s,Synchronous cells
Physical cell ID PCI,,,"Colliding CRS: (PCIcell1 – PCIcell3)mod6=0,PCIcell1 not equal to PCIcell3Non-colliding CRS: (PCIcell2 –  PCIcell3)mod6 !=0",Cell PCIs for three cells are selected randomly so that all conditions are met
ABS pattern,,,‘1000000010000000100000001000000010000000’,"Non-MBSFN ABS. FDD ABS Pattern Info IE, as defined in TS 36.423 [28], clause 9.2.54. Configured in Cell 1.The first/leftmost bit corresponds to the Pcell subframe #0 of a radio frame satisfying SFN mod x = 0, where x is the size of the bit string (40) divided by 10. No MBSFN subframes are configured in the ABS subframes in Cell 1."
Time-domain measurement resource restriction pattern for neighbour cell measurements on RF Channel 1,,,‘1000000010000000100000001000000010000000’,"Time domain measurement resource restriction pattern for neighbor cell measurement signalled to the UE in measSubframePatternNeigh IE in measSubframePatternConfigNeigh, as defined in TS 36.331, clause 6.3.5.Configured before the measurements start. The cell list in measSubframeCellList IE shall contain Cell 3 but not Cell 2."
Time-domain measurement resource restriction pattern for serving cell measurements,,,‘0100000001000000010000000100000001000000’,Configured for measurements on Cell 1.
CRS assistance information,physCellId,,see PCI conditions above,The CRS assistance information is provided for Cell 2 only in CRS-AssistanceInfo. It includes a single MBSFN-SubframeConfig element with subframe allocation one Frame=’000000’.
,antennaPortsCount,,1,
,mbsfn-SubframeConfigList,,oneFrame = ‘000000’,
