Date,Meeting,TDoc,CR,Rev,Cat,Subject/Comment,New version
2007-12,RP#38,RP-071037,,,,Approved version in TSG RAN#38,8.0.0
2008-03,RP#39,RP-080123,2,,,Updates of TS36.133,8.1.0
2008-05,RP#40,RP-080325,3,,,Updates of TS36.133,8.2.0
2008-09,RP#41,RP-080644,006,1,,E-UTRAN TDD intra frequency measurements when DRX is used,8.3.0
2008-09,RP#41,RP-080644,008,1,,E-UTRAN TDD - UTRAN TDD measurements,8.3.0
2008-09,RP#41,RP-080644,012,,,RSRQ reporting Range,8.3.0
2008-09,RP#41,RP-080644,018,1,,Interfrequency and UTRA interRAT DRX peformance requirements,8.3.0
2008-09,RP#41,RP-080644,020,1,,Additions to UE transmit timing requirements,8.3.0
2008-09,RP#41,RP-080644,043,,,Received interference power measurement performance requirement,8.3.0
2008-09,RP#41,RP-080644,044,,,Cell Synchronization requirement for E-UTRA TDD,8.3.0
2008-09,RP#41,RP-080644,047,,,Power Headroom Requirements,8.3.0
2008-09,RP#41,RP-080644,048,,,Event Triggering and Reporting Criteria Capability Requirements,8.3.0
2008-09,RP#41,RP-080642,004,,,Correction of E-UTRAN to UTRAN TDD handover,8.3.0
2008-09,RP#41,RP-080642,016,1,,Definition of Symbols,8.3.0
2008-09,RP#41,RP-080642,019,1,,Idle mode requirements updates,8.3.0
2008-09,RP#41,RP-080642,021,1,,General updates to 36.133,8.3.0
2008-09,RP#41,RP-080642,023,1,,Handover requirements for E-UTRAN to cdma200 HRPD/1x,8.3.0
2008-09,RP#41,RP-080642,024,,,Inter-frequency and inter-RAT measurement requirements for multiple layer monitoring,8.3.0
2008-09,RP#41,RP-080642,025,,,Side conditions for UE measurement procedures and measurement performance requirements,8.3.0
2008-09,RP#41,RP-080642,026,,,Correction to cell reselection Requirement from E-UTRAN to HRPD/cdma200 1x,8.3.0
2008-09,RP#41,RP-080642,027,,,IRAT Measurement requirements in TS 36.133,8.3.0
2008-09,RP#41,RP-080713,022,1,,Corrections to Handover requirements,8.3.0
2008-09,RP#41,RP-080713,028,,,Measurement reporting requirements,8.3.0
2008-09,RP#41,RP-080713,029,2,,RRC re-establishment requirements,8.3.0
2008-09,RP#41,RP-080713,032,,,Correction to UE measurement requirements,8.3.0
2008-09,RP#41,RP-080713,033,,,Correction for the definition of interruption time,8.3.0
2008-09,RP#41,RP-080713,040,1,,Correction to idle mode higher priority search requirements,8.3.0
2008-09,RP#41,RP-080713,045,,,E-UTRAN TDD  inter frequency measurement requirements,8.3.0
2008-09,RP#41,RP-080713,046,,,Updates of the Measurement procedures in RRC_Connected state from RAN 4#47bis and RAN 4#48,8.3.0
2008-12,RP#42,RP-080919,53,,,"Introduction of 700MHz Bands 12, 14 and 17",8.4.0
2008-12,RP#42,RP-080928,88,1,,CR to 36.133 on Radio Link Failure Monitoring,8.4.0
2008-12,RP#42,RP-080929,51,,,Correction to idle mode requirements,8.4.0
2008-12,RP#42,RP-080929,52,,,Definition of out of service area,8.4.0
2008-12,RP#42,RP-080929,54,,,Measurement requirements for UTRAN TDD cells in idle state,8.4.0
2008-12,RP#42,RP-080929,69,2,,Correction of Inter-RAT UTRA cell reselection requirement,8.4.0
2008-12,RP#42,RP-080929,55,,,Correction of E_UTRAN cell measurement requirements in idle state,8.4.0
2008-12,RP#42,RP-080930,76,,,Correction to HO Requirements,8.4.0
2008-12,RP#42,RP-080931,71,,,Random access requirements,8.4.0
2008-12,RP#42,RP-080932,85,,,Cell phase synchronization error for large cell,8.4.0
2008-12,RP#42,RP-080932,63,4,,Synchronization Requirements for E-UTRAN to 1xRTT and HRPD Handovers,8.4.0
2008-12,RP#42,RP-080933,49,,,E-UTRAN TDD-TDD intra/inter frequency measurement reporting requirements,8.4.0
2008-12,RP#42,RP-080933,50,,,E-UTRAN FDD – UTRAN FDD Measurement reporting requirements,8.4.0
2008-12,RP#42,RP-080933,58,,,Measurement requirement for E-UTRAN TDD to UTRAN TDD/FDD when DRX is used,8.4.0
2008-12,RP#42,RP-080933,60,,,Interfrequency and GSM measurement performance requirements in large DRX,8.4.0
2008-12,RP#42,RP-080933,62,,,Correction of implementation margin  for transmission gap.,8.4.0
2008-12,RP#42,RP-080933,72,,,Alignement  of DRX cycle dependent requirements,8.4.0
2008-12,RP#42,RP-080933,73,1,,Alignement of side conditions for mobility measurements,8.4.0
2008-12,RP#42,RP-080933,66,1,,Measurement models in RRC_CONNECTED,8.4.0
2008-12,RP#42,RP-080933,78,1,,Limitation of maximum number of layers for multiple monitoring,8.4.0
2008-12,RP#42,RP-080933,83,1,,GSM Cell identification requirements for parallel monitoring,8.4.0
2008-12,RP#42,RP-080933,87,,,UE transmit timing requirement,8.4.0
2008-12,RP#42,RP-080933,56,,,Correction of TS 36.133 clause 8.1.2.1.1.,8.4.0
2008-12,RP#42,RP-080934,77,,,Correction to RSRQ Report Mapping,8.4.0
2008-12,RP#42,,86,,,Missing side conditions for RSRP and RSRQ,8.4.0
2008-12,RP#42,RP-080935,81,1,,Phase I RRM Test Cases,8.4.0
2008-12,RP#42,,80,1,,Test Configuration for RRM Tests: Measurement Reference Channels and OCNG,8.4.0
2008-12,RP#42,RP-080936,75,,,Cdma200 1xRTT Measurement Requirements,8.4.0
2008-12,RP#42,RP-080937,74,1,,E-UTRA to UTRA cell search requirements for SON,8.4.0
