Parameter,Unit,Value,Comment
Serving cell (PCell),,Cell 1,The measured cell
Neighbour cell,,Cell 2,The cell interfering to Cell 1
PCell ABS configuration,,Non-MBSFN ABS,As defined in Table A.3.4.1.1-1
E-UTRA RF Channel Number,,1,One FDD carrier frequency is used
Downlink Channel Bandwidth (BWchannel),MHz,10,For both cells in the test
CP length,,Normal,For both cells in the test
DRX,,,OFF
Time offset between cells,s,3,Synchronous cells
Physical cell ID PCI,,(PCIcell1 - PCIcell2 )mod6 !=0,Cell PCIs for Cell 1 and Cell 2 are selected randomly so that the condition is met
ABS pattern,,‘1000000010000000100000001000000010000000’,"Non-MBSFN ABS. FDD ABS Pattern Info IE, as defined in TS 36.423 [28], clause 9.2.54. Configured in Cell 2.The first/leftmost bit corresponds to the subframe #0 of a radio frame satisfying SFN mod 40 = 0. No MBSFN subframes are cofigured in Cell 1 or Cell 2 during the ABS subframes of Cell 2."
Time-domain measurement resource restriction pattern for serving cell measurements,,‘1000000010000000100000001000000010000000’,Configured for measurements on Cell 1.
