Parameter,Unit,Value,Comment
PDSCH parameters,,DL Reference Measurement Channel R.0 FDD,As specified in clause A.3.1.1.1
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 FDD,As specified in clause A.3.1.2.1
E-UTRAN RF Channel Number,,1,One E-UTRAN FDD carrier frequency is used.
UTRAN RF Channel Number,,1,One UTRAN FDD carrier frequency is used.
E-UTRAN Channel Bandwidth (BWchannel),MHz,10,
Active cell,,Cell 1,E-UTRAN cell 1 on RF channel number 1
Neighbor cells,,Cell 2,UTRAN cell 2 on RF channel number 1
Gap Pattern Id,,0,As specified in TS 36.133 clause 8.1.2.1.
Inter-RAT (UTRAN FDD) measurement quantity,,CPICH RSCP,
Monitored UTRA FDD cell list size,,12,UTRA cells on UTRA RF channel 1 provided in the cell list.
CP length,,Normal,
Filter coefficient,,0,L3 filtering is not used
DRX,,OFF,OFF
