Parameter,Unit,Test 1
E-UTRAN RF Channel Number,,1
Channel Bandwidth (BWchannel),MHz,10
DRX,,OFF
PRACH Configuration,,PRACH_4CE  As specified in A.3.16
MPDCCH Reference measurement channelNote1,,R.16 FDD
OCNG PatternNote2,,OP.21 FDD
PBCH_RA,dB,0
PBCH_RB,dB,
PSS_RA,dB,
SSS_RA,dB,
PHICH_RA,dB,
PHICH_RB,dB,
MPDCCH_RA,dB,
MPDCCH_RB,dB,
OCNG_RANote3,dB,
OCNG_RBNote3,dB,
,dBm/15 kHz,-98
,dB,3
,dB,3
IoNote4,dBm/9 MHz,-65.5
Propagation Condition,,AWGN
"Note 1:For the reference measurement channels, see clause A.3.1.Note 2:For the OCNG pattern, see clause A.3.2.Note 3:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 4:Io level has been derived from other parameters for information purpose. It is not a settable parameter.",,
