Parameter,Unit,Value,,,,Comment
,,Test1,Test2,Test3,Test4,
M-PDCCH parameters,,R.6 HD-FDD,,R.6 HD-FDD,,As specified in clause A.3.1.3.1
mPDCCH-startSF-UESS,,10,,10,,Parameter G in  which determines subframe k0 in which MPDCCH starts
OCNG Patterns defined in A.3.2.1,,OP.21 FDD,,OP.21 FDD,,OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols (other than those in the PRS subframes).
Reference cell,,Cell 1,,,,
Neighbour cell,,Cell 2,,,,
E-UTRA RF Channel Number,,1,,,,One FDD carrier frequency is used.
System Channel Bandwidth (BWchannel),MHz,10,,10,,
PRS Bandwidth,RB,50 Note 1,,50 Note 1,,PRS bandwidth is as indicated in prs-Bandwidth in the OTDOA assistance data defined in [24].
PRS configuration Index,,151,,151,,As defined in TS 36.211
Number of  consecutive positioning downlink subframes,,6,,2,,As defined in TS 36.211
prs-MutingInfo,,Cell 1: ‘11110000’Cell 2: ‘11110000’,,,,See clause 6.5.1.2 in TS 36.355 for more information
Cell ID,,(Cell ID of cell 1 – Cell ID of cell 2) mod 6 = 0,(Cell ID of cell 1 – Cell ID of cell 2) mod 6 = 1,(Cell ID of cell 1 – Cell ID of cell 2) mod 6 = 0,(Cell ID of cell 1 – Cell ID of cell 2) mod 6 = 3,
expectedRSTD,s,Cell 2: 1 Other neighbour cells: randomly between -3 and 3,Cell 2: -1 Other neighbour cells: randomly between -3 and 3,Cell 2: -1 Other neighbour cells: randomly between -3 and 3,Cell 2: 1 Other neighbour cells: randomly between -3 and 3,
expectedRSTDUncertainty for all neighbour cells,s,5,5,5,5,
CP length,,Normal,,,,
DRX,,OFF,,,,
Radio frame receive time offset between  the cells at the UE antenna connector,s,Cell 2 to Cell 1: -3,Cell 2 to Cell 1: 3,Cell 2 to Cell 1: 3,Cell 2 to Cell 1: -3,PRS are transmitted from synchronous cells
Number of cells provided in OTDOA assistance data,,16,,,,The number of cells includes the reference cell
,ms,5120,,,,Derived according to the RSTD measurement requirements specified in Clause 8.13.2.3.3 (for Cat-M1) and Clause 8.16.2.3.3 (Cat-M2).
"NOTE 1:If the PRS transmission bandwidth is larger than the UE RF bandwidth, the UE is measuring RSTD within its RF bandwidth.",,,,,,
