Parameter,Unit,Tests 1,Tests 2
E-UTRAN RF Channel Number,-,1,1
BWchannel,MHz,1.4,10
Uplink-downlink configuration of cell Note1,,1,1
Special subframe configuration of cell Note1,,6,6
PDSCH Reference measurement channel defined in A.3.1.1.2,-,R.2 TDD,R.0 TDD
PDSCH allocation,,2-3,13-36
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.2,-,R.8 TDD,R.6 TDD
OCNG Patterns defined in A.3.2.2.3 (OP.3 TDD) and A.3.2.2.1 (OP.1 TDD),-,OP.3 TDD,OP.1 TDD
PBCH_RA,dB,0,0
PBCH_RB,dB,,
PSS_RA,dB,,
SSS_RA,dB,,
PCFICH_RB,dB,,
PHICH_RA,dB,,
PHICH_RB,dB,,
PDCCH_RA,dB,,
PDCCH_RB,dB,,
PDSCH_RA,dB,,
PDSCH_RB,dB,,
OCNG_RANote2,dB,,
OCNG_RBNote2,dB,,
Note 3,dBm/15 kHz,-98,-98
RSRP Note 4,dBm/15 kHz,-101,-101
,dB,-3,-3
Io Note 4,dBm/1.08 MHz,-77.66,N/A
,dBm/9 MHz,N/A,-68.45
,dB,-3,-3
Propagation Condition,,AWGN,
Note 1:For special subframe and uplink-downlink configurations see Tables 4.2-1 and 4.2-2 in TS 36.211.Note 2:OCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 3:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modeled as AWGN of appropriate power for   to be fulfilled.Note 4:RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,
