Parameter,Unit,Cell 1,,,,Cell 2,,,
,,T1,T2,T3,T4,T1,T2,T3,T4
E-UTRA RF Channel Number,,1,,,,2,,,
Satellite Assistance Information (Clause A.3.28.5),,SSC.2,,,,NSC.4,,,
BWchannel,MHz,1.4,,,,,,,
PDSCH parameters:DL Reference Measurement Channel,,R.49 HD-FDD,,,,R.49 HD-FDD,,,
MPDCCH parameters:DL Reference Measurement Channel,,R.47 HD-FDD,,,,R.47 HD-FDD,,,
OCNG Patterns,,OP.7 FDD,,,,OP.7 FDD,,,
PBCH_RA,dB,-3,,,,-3,,,
PBCH_RB,dB,,,,,,,,
PSS_RA,dB,,,,,,,,
SSS_RA,dB,,,,,,,,
PCFICH_RB,dB,,,,,,,,
PHICH_RA,dB,,,,,,,,
PHICH_RB,dB,,,,,,,,
MPDCCH_RA,dB,,,,,,,,
MPDCCH_RB,dB,,,,,,,,
PDSCH_RA,dB,,,,,,,,
PDSCH_RB,dB,,,,,,,,
OCNG_RANote 1,dB,,,,,,,,
OCNG_RBNote 1,dB,,,,,,,,
NocNote 2,dBm/15 kHz,-98,,,,,,,
Ês/Noc,dB,4,4,4,4,-infinity,4,-infinity,4
Ês/Iot Note 3,dB,4,-1.46,4,-1.46,-infinity,-1.46,-infinity,-1.46
RSRP Note 3,dBm/15 kHz,-94,-94,-94,-94,-infinity,-94,-infinity,-94
Io Note 3,dBm/9MHz,-64.76,-62.42,-64.76,-62.42,Specified inCell 1 columns,,,
Propagation Condition,,AWGN,,,,AWGN,,,
Correlation Matrix and Antenna Configuration,,1x1 Low,,,,1x1 Low,,,
Timing offset to Cell 1,ms,-,,,,3,,,
"Note 1:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.Note 3:Es/Iot, RSRP, SCH_RP and Io have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.",,,,,,,,,
