Parameter,,Unit,Value,Comment
Initial condition,Active synchronization source,,Cell 1,UE transmits for V2X Sidelink Communication and SLSS+MIB-SL with SLSS ID = 30 and in-coverage set as TRUE in MIB-SL.
T2 end condition,Active synchronization source,,Sync Ref UE 1,UE transmits for V2X Sidelink Communication and SLSS+MIB-SL with SLSS ID = 168 and in-coverage set as FALSE in MIB-SL.
Final condition,Active synchronization source,,Sync Ref UE 2,UE transmits for V2X Sidelink Communication and SLSS+MIB-SL with SLSS ID = 0 and in-coverage set as FALSE in MIB-SL.
Active SyncRef UEs,,,SyncRef UE 1SyncRef UE 2,Transmitting SLSS+MIB-SL on RF channel number 1 (TDD carrier in Band 47)
Active cell,,,Cell 1,E-UTRA FDD Cell 1 on RF channel number 2
Timing offset between SyncRef UE 1 and SyncRef UE 2,,s,3,Synchronous
Frequency offset of SyncRef UE 1,,ppm,0,
Frequency offset of SyncRef UE 2,,ppm,0,
V2X sidelink Communication configuration,,,As specified in Table A.3.24.2-2(Configuration #2),IE values unless specified otherwise in this test.
typeTxSync,,,gnss,
slssid,,,30,
syncTxThreshIC,,,+infinity,
T1,,s,24,
T2,,s,16,
T3,,s,3.2,
