Parameter,Unit,Test1,,Test2,,Test3,,Test4,
,,Cell1,Cell2,Cell1,Cell2,Cell1,Cell2,Cell1,Cell2
E-UTRA RF Channel Number,,1,,,,,,,
PBCH_RA,dB,0,0,0,0,0,0,0,0
PBCH_RB,,,,,,,,,
PSS_RA,,,,,,,,,
SSS_RA,,,,,,,,,
MPDCCH_RA,,,,,,,,,
MPDCCH_RB,,,,,,,,,
OCNG_RANote1,,,,,,,,,
OCNG_RBNote1,,,,,,,,,
PRS_RA,dB,0,0,-3,0,0,0,-3,0
Note 2,dBm/15 kHz,-98,-98,-98,-98,-98,-98,-98,-98
PRS,dB,-5,-13,-15,-15,-5,-13,-15,-15
PRS  Note 3,dB,-5.21,-14.19,-15,-15,-5.21,-14.19,-15,-15
Io Note 3,dBm/9 MHz,-69.79,-69.79,-70.06,-70.06,-69.79,-69.79,-70.06,-70.06
PRP Note 3,dBm/15kHz,-103,-111,-113,-113,-103,-111,-113,-113
Note 3,dB,-5,-13,-12,-15,-5,-13,-12,-15
RSRP Note 3,dBm/15kHz,-103,-111,-110,-113,-103,-111,-110,-113
Propagation condition,,AWGN,,,,,,,
"Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols (other than those in the PRS subframes).Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:, PRS , Io, RSRP and PRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves. Io values are derived in the case that there is no PBCH, PSS or SSS in the OFDM symbols carrying PRS",,,,,,,,,
