Parameter,,Unit,Value,Comment
NB-IOT operational mode,,,Standalone,
Satellite information,Config 1,,SSC.1 for nCell1NSC.1 for nCell2,GSO
,Config 2,,SSC.2 for nCell1NSC.2 for nCell2,NGSO
Initial condition,Active cell,,nCell1,
,Neighbour cells,,nCell2,
T2 end condition,Active cell,,nCell2,
,Neighbour cells,,nCell1,
Final condition,Visited cell,,nCell1,
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
s-IntraSearchP-v1360,,,63 (126 dB),to trigger intra-frequency measurement in this test
SSearchDeltaP,,dB,6,Threshold for relaxed monitoring criterion as specified in 5.2.4.12.1 in [1]
Rmax,,,128,
maxDurationFactor,,,one4th,WUS config. Wmax = 32 (=1/4*Rmax)
numPOs,,,n1,WUS config. Single PO mapped to each WUS occasion
timeOffsetDRX,,,ms40,WUS config. Gap between the end of WUS duration to the associated PO
numDRX-CycleRelaxed,,,4,Serving cell RRM measurement is relaxed by
DRX cycle length,,s,1.28,The value shall be used for all cells in the test.
T1,,s,>30,"During T1, nCell2 shall be powered off, and during the off time the physical cell identity shall be changed. The intention is to ensure that nCell2 has not been detected by the UE prior to the start of period T2"
T2,,s,70,T2 is defined so that cell re-selection time is taken into account.
