Parameter,,,Unit,Value,Comment,
Initial condition,Active synchronization source,,Sync Ref UE 1,,,
Final condition,Active synchronization source,,Cell1,,,
E-UTRA RF Channel Number,,,1,,,
Channel Bandwidth (BWchannel),,MHz,5 or 10,According to principle defined in clause A.3.12.3,,
Active cell,,,Cell1,,,
Active SyncRef UEs,,,SyncRef UE 1,Transmitting SLSS+MIB-SL on uplink of RF channel number 1,,
ProSe Direct Communication preconfiguration,,,As specified in Table A.3.12.5-2(Configuration #2),IE values unless specified otherwise in this test.,,
syncTxThreshOoC,,,11 (+infinity),,,
T1,,s,2,,,
T2,,s,30,,,
