Parameter,Unit,Test 1,Test 2,Test 3
E-UTRAN RF Channel Number,,1,,
BWchannel,MHz,10,,
Special subframe configurationNote1,,6,,
Uplink-downlink configurationNote1,,1,,
OCNG Patterns defined in A.3.2.2.1 (OP.1 TDD),,OP.1 TDD,,
PBCH_RA,dB,0,,
PBCH_RB,dB,,,
PSS_RA,dB,,,
SSS_RA,dB,,,
PCFICH_RB,dB,,,
PHICH_RA,dB,,,
PHICH_RB,dB,,,
PDCCH_RA,dB,,,
PDCCH_RB,dB,,,
PDSCH_RA,dB,,,
PDSCH_RB,dB,,,
OCNG_RANote 2,dB,,,
OCNG_RBNote 2,dB,,,
Note 3,dBm/15 kHz,-98,,
RSRP Note 4,dBm/15 kHz,-94,,
,dB,4,,
SCH_RP Note 4,dBm/15 kHz,-94,,
,dB,4,,
Propagation Condition,,AWGN,,
Note 1:For special subframe and uplink-downlink configurations see Tables 4.2-1 and 4.2-2 in TS 36.211.  Note 2:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 3:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modeled as AWGN of appropriate power for  to be fulfilled.Note 4:RSRP and SCH_RP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,
