Parameter,E-UTRA operating band groups Note 3,Minimum RSRP Note 1,MinimumSCH_RP Note 1,RSRP Ês/Iot,SCH Ês/Iot
,,dBm/15kHz,dBm/15kHz,dB,dB
Conditions,"FDD_A, TDD_A",-124,-124,-5,-5
,FDD_B1,-123.5,-123.5,,
,"FDD_C, TDD_C",-123,-123,,
,FDD_D,-122.5,-122.5,,
,"FDD_E, TDD_E",-122,-122,,
,FDD_F,-121.5 Note 2,-121.5 Note 2,,
,FDD_G,-121,-121,,
,FDD_H,-120.5,-120.5,,
,FDD_N,-117.5,-117.5,,
"NOTE 1:This condition level is increased by ∆>0, when applicable, as described in Section B.4.2.NOTE 2:The condition is -122 dBm/15kHz when the carrier frequency of the assigned E-UTRA channel bandwidth is within 865-894 MHz.NOTE 3:E-UTRA operating band groups are as defined in Section 3.5.",,,,,
