Parameter,Unit,Value,,Comment
,,Test1,Test2,
PCFICH/PDCCH/PHICH parameters,,R.14 FDD,R.6 FDD,As specified in clause A.3.1.2.1
OCNG Patterns defined in A.3.2.1,,OP.7 FDD,OP.6 FDD,OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols (other than those in the PRS subframes).
Reference cell,,Cell 1,,Cell 1 on RF channel number 1
Neighbour cell,,Cell 2,,Cell 2 on RF channel number 2
E-UTRA RF Channel Number,,"1,2",,Two FDD carrier frequencies are used.
Channel Bandwidth (BWchannel),MHz,1.4,10,
PRS Bandwidth,RB,6,50,PRS bandwidth is as indicated in prs-Bandwidth in the OTDOA assistance data defined in [24].
Number of  consecutive positioning downlink subframes,,6,1,As defined in TS 36.211
prs-MutingInfo,,Cell1:‘11110000’Cell2:‘11110000’,,See clause 6.5.1.2 in TS 36.355 for more information
expectedRSTD,s,Cell 2:1 Other neighbour cells: randomly between -3 and 3,,The expected RSTD is what is expected at the receiver. The corresponding parameter in the OTDOA assistance data specified in TS 36.355 [24] is the expectedRSTD indicator
expectedRSTDUncertainty for all neighbour cells,s,5,,The corresponding parameter in the OTDOA assistance data specified in TS 36.355 [24] is the expectedRSTD-Uncertainty index
CP length,,Normal,,
DRX,,OFF,,
Radio frame transmit time offset  between the cells at the UE antenna connector,s,Cell 2 to Cell 1: 3,Cell 2 to Cell 1: -3,Synchronous cells
Number of cells provided in OTDOA assistance data,,16,,"The list includes the reference cell (received in OTDOA-ReferenceCellInfo [24]) on RF channel 1 and 15 other cells on RF channel 2, all received in OTDOA-ProvideAssistanceData [24]."
,ms,5120,,Derived according to the RSTD measurement requirements specified in Clause 8.1.2.6.1
