Parameter,,Unit,Value,Comment
Serving cell (PCell),,,Cell 1,The aggressor cell to Cell 3
Neighbour cell,,,Cell 2,The aggressor cell to Cell 3
Neighbour cell,,,Cell 3,Cell to be measured
PCell ABS configuration,,,Non-MBSFN ABS,As defined in Table A.3.4.1.1-1
CP length,,,Normal,For three cells in the test
Special subframe configuration,,,6,As specified in table 4.2-1 in TS 36.211. The same configuration in both cells
Uplink-downlink configuration,,,1,As specified in table 4.2-2 in TS 36.211. The same configuration in both cells
DRX,,,,OFF
Cell 2 time offset with respect to Cell 1,,,0s,Synchronous cells
Cell 3 time offset with respect to Cell 1,,,-2.5 s,Synchronous cells
Physical cell ID PCI,,,"Colliding CRS: (PCIcell1 – PCIcell3)mod6=0,PCIcell1 not equal to PCIcell3Non-colliding CRS: (PCIcell2 –  PCIcell3)mod6 !=0",Cell PCIs for three cells are selected randomly so that all conditions are met
ABS pattern,,,‘00000000010000000001’,"TDD ABS Pattern Info IE, as defined in TS 36.423 [28], clause 9.2.54. The first/leftmost bit corresponds to the Pcell subframe #0 of the radio frame satisfying SFN mod x = 0, where x is the size of the bit string (20) divided by 10. No MBSFN subframes are configured in the ABS subframes.Provided to the UE for Cell 1 and Cell 2 before the measurements start."
Time-domain measurement resource restriction pattern for neighbour cell measurements on RF Channel 1,,,‘00000000010000000001’,"Time domain measurement resource restriction pattern for neighbor cell measurement signalled to the UE in measSubframePatternNeigh IE in measSubframePatternConfigNeigh, as defined in TS 36.331, clause 6.3.5.Configured before the measurements start. The cell list in measSubframeCellList IE shall contain Cell 3 but not Cell 2."
Time-domain measurement resource restriction pattern for serving cell measurements,,,‘10000000001000000000’,Configured for Cell 1 measurements.
CRS assistance information,physCellId,,see PCI conditions above,The CRS assistance information is provided for Cell 2 only in CRS-AssistanceInfo. It includes a single MBSFN-SubframeConfig element with subframe allocation one Frame=’000000’.
,antennaPortsCount,,1,
,mbsfn-SubframeConfigList,,oneFrame = ‘000000’,
