Parameter,Unit,Test 1,Test 2
E-UTRAN RF Channel Number,,1,1
BWchannel,MHz,1.4,10
DRX,,OFF,
PDSCH Reference measurement channel defined in A.3.1.1.1,,R.2 FDD,R.0 FDD
PDSCH allocation,,2—3,13—36
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.1,,R.8 FDD,R.6 FDD
OCNG Patterns defined in A.3.2.1.3 (OP.3 FDD) and A.3.2.1.1 (OP.1 FDD),,OP.3 FDD,OP.1 FDD
PBCH_RA,dB,0,0
PBCH_RB,dB,,
PSS_RA,dB,,
SSS_RA,dB,,
PCFICH_RB,dB,,
PHICH_RA,dB,,
PHICH_RB,dB,,
PDCCH_RA,dB,,
PDCCH_RB,dB,,
PDSCH_RA,dB,,
PDSCH_RB,dB,,
OCNG_RANote1,dB,,
OCNG_RBNote1,dB,,
Note2,dBm/15 kHz,-98,-98
RSRP Note3,dBm/15 kHz,-101,-101
,dB,-3,-3
Io Note3,dBm/1.08 MHz,-77.66,N/A
,dBm/9 MHz,N/A,-68.45
,dB,-3,-3
Propagation Condition,,AWGN,
Note 1:OCNG shall be used such that the resources in the active cell are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modeled as AWGN of appropriate power for  to be fulfilled.Note 3:RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,
