Parameter,Unit,Test configuration,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
Satellite information,,1,SSC.1,SSC.1,NSC.1,NSC.1
,,2,SSC.2,SSC.2,NSC.1,NSC.2
E-UTRA RF Channel Number,,"1, 2",1,,2,
BWchannel,MHz,"1, 2",1.4,,,
OCNG Patterns,,"1, 2",OP.7 FDD,,OP.7 FDD,
PBCH_RA,dB,"1, 2",-3,,-3,
PBCH_RB,dB,,,,,
PSS_RA,dB,,,,,
SSS_RA,dB,,,,,
MPDCCH_RA,dB,,,,,
MPDCCH_RB,dB,,,,,
PDSCH_RA,dB,,,,,
PDSCH_RB,dB,,,,,
OCNG_RANote 1,dB,,,,,
OCNG_RBNote 1,dB,,,,,
Qrxlevmin,dBm,"1, 2",-140,-140,-140,-140
Note2,dBm/15 kHz,"1, 2",-98,,,
,dB,"1, 2",-5,-12,-infinity,-5
,dB,"1, 2",-5,-12,-infinity,-5
RSRP Note3,dBm/15 kHz,"1, 2",-103,-110,-infinity,-103
TreselectionEUTRAN,s,"1, 2",0,0,0,0
Snonintrasearch,dB,"1, 2",50,,Not sent,
Propagation Condition,,"1, 2",AWGN,,AWGN,
Antenna Configuration,,"1, 2",1x1,,1x1,
Timing offset to Cell 1,ms,"1, 2",-,,3,
Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,
