Parameter,,Unit,Value,Commnet
,,,Test 1,
E-UTRA RF Channel Number,,,1,
Channel Bandwidth (BWchannel),,MHz,1.4,
Satellite Configuration,,,SSC.2,For NGSO
DRX cycle,,ms,N/A,
MPDCCH Reference measurement channelNote1,,,[R.6 HD-FDD],
OCNG PatternNote2,,,OP.21 FDD,
pusch-TxDuration-r17,,,[64],
Number of repetitions,MPDDCH,,128,
,PUSCH,,32,
PBCH_RA,,dB,0,
PBCH_RB,,,,
PSS_RA,,,,
SSS_RA,,,,
PHICH_RA,,,,
PHICH_RB,,,,
MPDCCH_RA,,,,
MPDCCH_RB,,,,
OCNG_RANote3,,,,
OCNG_RBNote3,,,,
,,dBm/15 kHz,-98,
,,dB,-12,
,,dB,-12,
IoNote4,,dBm/9 MHz,-86.4,
,,dBm/1.08 MHz,N/A,
Propagation condition,,-,AWGN with time varying Doppler and delay shifts,
Antenna configuration,,-,1x1,
UE position,,,"set by AT command at the beginning, and should keep unchanged during the test.",
"Note 1:For the reference measurement channels, see clause A.3.1.Note 2:For the OCNG pattern, see clause A.3.2.Note 3:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 4:Io level has been derived from other parameters for information purpose. It is not a settable parameter.",,,,
