Parameter,Unit,Value,Commnet
,,Test 1,
RF Channel Number,,1,
BWchannel,kHz,200,
NPDSCH parameter,,R.18 HD-FDD,
NPDCCH parameter,,R.30 HD-FDD,
NOCNG Patterns,,NOP.3 FDD,
NPBCH_RA,dB,0,
NPBCH_RB,,,
NPSS_RA,,,
NSSS_RA,,,
NPDCCH_RA,,,
NPDCCH_RB,,,
NPDSCH_RA,,,
NPDSCH_RB,,,
NOCNG_RA Note1,,,
NOCNG_RB Note1,,,
,dBm/15 kHz,-88,
,dB,-11,
,dB,-11,
Antenna Configuration,,1x1,
Propagation condition,-,AWGN with time varying Doppler and delay shifts,
UE position,,"set by AT command at the beginning, and should keep unchanged during the test",
Note 1NOCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,
