Parameter,Unit,Value,Comment
NB-IoT operational mode,,Inband,
Reference cell,,nCell 1,
Neighbor cells,,"nCell 2, eCell 1 and eCell 2",
NPDCCH parameters,,R.26 NB-TDD,Specified in section A.3.1.6.1
nprsID,,Test1: (nprsID of Cell 1 – nprsID of Cell 2)mod6=1,As defined in TS 36.355 [24]
nprs-period,ms,1280,As defined in TS 36.355 [24]
nprs-startSF,,sf0,Subframe offset of the NPRS positioning occasion as defined in TS 36.355 [24]
nprs-slotNumberOffset,,0,As defined in TS 36.355 [24]
nprs-SubframeOffset,,640,As defined in TS 36.355 [24]
Number of consecutive downlink positioning subframesnprs-NumSF,,640,As defined in TS 36.355 [24]
NPRS muting info,,nCell 1: ‘1111111100000000’nCell 2: ‘1111111100000000’,Correponds to nprs-MutingInfoB defined in TS 36.355 [24]
PartA Configuration:subframePattern10-TDD,,‘01100011’,Correponds to subframePattern10-TDD-r15 defined in TS 36.355 [24]
nprsSequenceInfo nCell1,,BWchannel 10MHz: 130,Correponds to nprsSequenceInfo defined in TS 36.355 [24]
nprsSequenceInfo nCell2,,BWchannel 10MHz: 135,Correponds to nprsSequenceInfo defined in TS36.355 [24]
CP length,,Normal,
NPRACH Configuration,,NPRACH.R-2,Specified in section A.3.18
DRX cycle length,,1.28,The value shall be used for all cells in the test.
Expected RSTD,s,nCell 2: 3Other neighbour cells: randomly between -3 and 3,The expected RSTD is what is expected at the receiver. The corresponding parameter in the OTDOA assistance data specified in TS 36.355 [24] is the expectedRSTD indicator
Expected RSTD uncertainty for all neighbour cells,s,5,The corresponding parameter in the OTDOA assistance data specified in TS 36.355 [24] is the expectedRSTD-Uncertainty index
Number of cells provided in OTDOA assistance data,,16,Including the reference cell
Special subframe configuration,,6,As specified in table 4.2-1 in TS 36.211 [16]
Uplink-downlink configuration,,2,As specified in table 4.2-2 in TS 36.211 [16]
Measurement period,s,20.48,Derived according to the RSTD measurement period in clause 4.8.3
