Parameter,Unit,Test1,
,,nCell 1,nCell 2
BWchannel,kHz,180,180
PRB location within eCell,,eCell 1 BWchannel 10MHz: 30,eCell 2 BWchannel 10MHz: 30
NPBCH_RA,dB,0,0
NPBCH_RB,,,
NPSS_RA,,,
NSSS_RA,,,
NPDCCH_RA,,,
NPDCCH_RB,,,
NPDSCH_RA,,,
NPDSCH_RB,,,
OCNG_RA Note 1,,,
OCNG_RB Note 1,,,
NPRS_RA,dB,,
Note 2,dBm/15 kHz,-98,-98
NPRS,dB,-15,-15
NPRS  Note 3,dB,-15,-15
Io Note 3,dBm/180kHz,-87.14,-87.14
NPRP Note 3,dBm/15 kHz,-113,-113
NRSRP Note 3,dBm/ 15 kHz,-113,-113
Note 3,dB,-15,-15
Propagation Condition,,AWGN,AWGN
Antenna Configuration,,1x1,1x1
Timing offset to nCell 1,us,N/A,3
"Note 1:OCNG shall be used such that active cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols other than those in the subframes with transmitted NPRS.Note 2:Interference from other cells and noise sources not specified in the test are assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:If NPRS_RA is not “N/A”, , NPRS , Io, NRSRP and NPRP levels have been derived from other parameters and are given for information purpose. If NPRS_RA is “N/A”, Io and NRSRP levels have been derived from other parameters and are given for information purpose. These are not settable test parameters. Interference conditions shall be applied to all PRS symbols of DL positioning subframes.",,,
