Parameter,,Unit,Value,Comments
NB-IOT operational mode,,,Standalone,
BWchannel,,kHz,200,
NPDSCH parameters Note 2,"Config. 1, 2",,R.18 HD-FDD,As defined in A.3.1.5.3
,Config. 3,,R.24 NB-TDD,
NPDCCH parameters Note 2,,,R.30 HD-FDD,As defined in A.3.1.6.3
NPBCH_RA,,dB,0,
NPBCH_RB,,dB,0,
NPSS_RA,,dB,,
NSSS_RA,,dB,,
NPDCCH_RA,,dB,,
NPDCCH_RB,,dB,,
NPDSCH_RA,,dB,,
NPDSCH_RB,,dB,,
NOCNG_RA Note 1,,dB,,
NOCNG_RB Note 1,,dB,,
DRX,,,OFF,
,,dBm/15 kHz,-98,
,,dB,3,
Note 3,,dB,3,
NRSRP Note 3,,dBm/15 kHz,-95,
Io Note 3,,dBm/180 KHz,-82.45,
Propagation Condition,,-,AWGN,
Antenna Configuration,,,1x1,
"Note 1:NOCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols. The OCNG pattern is chosen during the test according to the presence of a DL reference measurement channel.Note 2:The NPDSCH and NPDCCH reference measurement channels are used in the test only when a downlink transmission dedicated to the UE under test is required.Note 3:Es/Iot, NRSRP and Io level has been derived from other parameters for information purpose. They are not settable parameters themselves.",,,,
