Parameter,Unit,Value,Comment
Serving cell (PCell),,Cell 1,Cell to be measured
Neighbour cell,,Cell 2,The cell interfering to Cell 1
PCell ABS configuration,,Non-MBSFN ABS,As defined in Table A.3.4.1.1-1
E-UTRA RF Channel Number,,1,One TDD carrier frequency is used
Downlink Channel Bandwidth (BWchannel),MHz,10,For both cells in the test
CP length,,Normal,For both cells in the test
Special subframe configuration,,6,For Cell 1 and Cell 2. For special subframe configurations see Table 4.2-1 in [16].
Uplink/downlink subframe configuration,,1,For Cell 1 and Cell 2. For uplink-downlink subframe configurations see Table 4.2-2 in [16].
DRX,,,OFF
Time offset between cells,s,3,Synchronous cells
Physical cell ID PCI,,(PCIcell1 - PCIcell2 )mod6 !=0,Cell PCIs for Cell 1 and Cell 2 are selected randomly so that the condition is met.
ABS pattern,,‘00000000010000000001’,"Non-MBSFN ABS. TDD ABS Pattern Info IE, as defined in TS 36.423 [28], clause 9.2.54. Configured in Cell 2.The first/leftmost bit corresponds to the subframe #0 of a radio frame satisfying SFN mod 20 = 0. No MBSFN subframes are cofigured in the ABS subframes in Cell 2."
Time-domain measurement resource restriction pattern for serving cell measurements,,‘00000000010000000001’,Configured for measurements on Cell 1.
