Change history,,,,,,,
Date,TSG #,TSG Doc.,CR,Rev,Cat,Subject/Comment,New version
2007-06,RAN2#58bis,R2-072715,,,,First version;Endorsed as v0.1.0.,0.1.0
2007-06,RAN2#58bis,R2-072910,,,,"Added definition for Data field element and RLC SDU segment;Removed Editor's note on non-byte-aligned RLC SDUs;Added description for Data field for AMD PDU;Added Align Info for AMD PDU header element;Added description on extension part of AMD PDU header at concatenation;Added figure for AMD PDU;Added Segment Offset and Length Field for AMD PDU segment header element;Added Editor's note for STATUS PDU;Added general text on parameters;Added description for Extension bit, Length Indicator, Align Info, Segment Offset and Last Segment Flag;Removed Editor's note on Length Indicator.",0.1.1
2007-06,RAN2#58bis,R2-072995,,,,"Moved description of Data field for AMD PDU and TMD PDU to the clause dedicated to Data field;Changed terminology for Align Info to Segmentation Info;Added Segmentation Info for UMD PDU header element;Removed figure for AMD PDU;Corrected error for AMD PDU segment header element (replaced Length Field by Last Segment Flag);Added place holders to specify the number of bits for the individual RLC header elements;Modified description for Extension bit, Segmentation Info and Last Segment Flag using tables.",0.1.2
2007-06,RAN2#58bis,R2-072996,,,,Bracketed terminology for Segmentation Info;Corrected clause numbering;Clarified description of Extension bit and Segment Offset.,0.1.3
2007-08,RAN2#59,R2-073554,,,,Added receive operation descriptions for the case AM RLC entity receives AMD PDU segments;Modified general texts regarding retransmissions;Added a general description text for Segmentation Info;Added an Editor's note for Segment Offset.,0.1.4
2007-08,RAN2#59,R2-073712,,,,v0.1.4 was endorsed by RAN WG2 as v0.2.0.,0.2.0
2007-08,RAN2#59,R2-073844,,,,"Added some missing abbreviations in clause 3.2;Added description and a figure regarding RLC entity configuration in clause 4.2.1, and removed Editor's note on this aspect;Added new sub clauses under clauses 4.2.1.1-4.2.1.3 (purely editorial modification)Added description on SN, i.e. RLC PDU based SN, and removed Editor's note on the possibility of having the same header structure for AMD PDU and AMD PDU segment due to PDCP SN reuse;Added description of the AM receive window operation;Added description that fixed header part should be byte aligned and extension header part should be byte aligned;Modified description on extension header part (LI and E are not required for the last Data field element) and removed Editor's note on this aspect;Added further description on Data field;LI field size is set to 11bits;Corrected editorial errors (reference number to tables)Added 3 state variables: VT(S), VR(R), VR(MR).",0.2.1
2007-08,RAN2#59,R2-073868,,,,"Corrected editorial errors;Added 1 constant: Rx_Wndow_Size;Added description of modulus operation on VT(S), VR(R), VT(MR).",0.2.2
2007-08,RAN2#59,R2-073881,,,,Removed reference to RLC UM for VT(R) and VT(MR).,0.2.3
2007-09,RAN#37,RP-070689,,,,v0.2.3 was endorsed by RAN WG2 as v1.0.0 and presented to RAN plenary for information.,1.0.0
2007-11,RAN2#60,R2-074583,,,,"Added description of the AM transmit window operation;Added Editor's note that PDU loss detection should be after HARQ reordering;Added description on AM retransmission and resegmentation;Added description of the polling trigger ""transmission of last data in the buffer"";Added polling trigger ""poll retransmit timer"" and its description;Added Editor's note that either PDU count based or window based polling trigger should be supported;Added description of the status reporting trigger ""polling from its peer AM RLC entity"";Removed old Editor's note in the polling sub clause;Added status reporting trigger ""detection of reception failure of an RLC data PDU"" and its description;Added status prohibit function and its description;Added Editor's note that at least a 1byte fixed header for the UMD PDU should be supported;Complete AMD PDU and AMD PDU segment headers captured and 3 new figures inserted for each of them;Added Editor's note that STATUS PDU will only have 1 format;Modified description of the Data field so that it also applies to AMD PDU segment;Added description of the SN field in relation to the AMD PDU segment;Corrected description of the E field;Defined SO field length to be 15bits;Completed the description of the SO field and removed the related Editor's note;Added description of the D/C field, RF field and P field;Added 2 state variables: VT(A) and VT(MS);Added to the description of VT(S) and VR(MR);Added 1 constant: Tx_Window_Size;Added 2 timers: T_poll_prohibit and T_status_prohibit.r",1.0.1
2007-11,RAN2#60,R2-075061,,,,"Cleaned up terminology related to PDUs;Editorial corrections (aligned wording, corrected Figure numbering, clarifications, etc.)Added Editor's note that exception cases when a negatively acknowledged RLC data PDU should not be transmitted will be captured when identified;Added description that the use of status prohibit function and particular polling triggers are configurable;Modified receiver operation for RLC-AM regarding AMD PDU segments (aligned with AMD PDU);Added description that DL CCCH is handled by RLC-UM and removed corresponding Editor's note;Added Editor's note that wording ""considered"" regarding retransmission of AMD PDU / AMD PDU segment in sub clause 5.2.1 should be improved;Added to the description of SN field that it is 10bits for AMD PDU and AMD PDU segment;Removed Editor's note regarding the need for status prohibit function;Added Editor's note that the need for [SI] field for UMD PDU can be challenged.",1.0.2
2007-11,RAN2#60,R2-075154,,,,"Added an Editor's note regarding Local NACK;Modified wording in clause 5.2.1 on the object of retransmission (RLC data PDU changed to AMD PDU / portion of AMD PDU);Clarified that STATUS PDU is triggered after the PDU containing th poll bit is ""HARQ reordered"", rather than just ""reordered"";Removed incorrect inclusion of a T_status_prohibit and added an Editor's which just says status prohibit function is supported.",1.0.3
2007-11,RAN2#60,R2-075198,,,,Description regarding the modulus operation involving state variables was changed in order to align with TS 25.322;Figures on PDUs were slightly modified (editorial).,1.0.4
2007-11,RAN2#60,R2-075430,,,,Text on receiver operation in clause 5.1.3 was revised to align the description regarding modulus operation with TS 25.322;Further cleaned up terminology related to PDUs;V1.0.4 was endorsed by RAN WG2 as v1.1.0 with the above revisions.,1.1.0
